국가,연도,의약품,의약품소비량,의약품판매량
터키,2010,심장 배당체,2.0,10372.8
터키,2010,항 부정맥제,0.7,10372.8
터키,2010,이뇨제,6.7,10372.8
터키,2010,향균제,39.7,10372.8
터키,2010,진통제,6.8,10372.8
터키,2010,수면제 및 진정제,0.0,10372.8
터키,2010,항우울제,32.7,10372.8
터키,2011,소화관 및 신진대사,170.9,8458.2
터키,2011,제산제,2.5,8458.2
터키,2011,소화성궤양 및 위장용 약물,50.3,8458.2
터키,2011,당뇨 약물,53.4,8458.2
터키,2011,심장 배당체,1.9,8458.2
터키,2011,항 부정맥제,0.7,8458.2
터키,2011,이뇨제,6.2,8458.2
터키,2011,향균제,42.3,8458.2
터키,2011,진통제,7.5,8458.2
터키,2011,수면제 및 진정제,0.0,8458.2
터키,2011,항우울제,37.0,8458.2
터키,2012,소화관 및 신진대사,185.4,7527.7
터키,2012,제산제,2.4,7527.7
터키,2012,소화성궤양 및 위장용 약물,53.1,7527.7
터키,2012,당뇨 약물,56.2,7527.7
터키,2012,심장 배당체,1.7,7527.7
터키,2012,항 부정맥제,0.8,7527.7
터키,2012,이뇨제,6.7,7527.7
터키,2012,향균제,42.2,7527.7
터키,2012,진통제,7.4,7527.7
터키,2012,수면제 및 진정제,0.0,7527.7
터키,2012,항우울제,37.3,7527.7
터키,2013,소화관 및 신진대사,199.1,7530.1
터키,2013,제산제,2.2,7530.1
터키,2013,소화성궤양 및 위장용 약물,53.0,7530.1
터키,2013,당뇨 약물,58.4,7530.1
터키,2013,심장 배당체,1.6,7530.1
터키,2013,항 부정맥제,0.8,7530.1
터키,2013,이뇨제,7.0,7530.1
터키,2013,향균제,41.1,7530.1
터키,2013,진통제,8.3,7530.1
터키,2013,수면제 및 진정제,0.0,7530.1
터키,2013,항우울제,36.3,7530.1
터키,2014,소화관 및 신진대사,224.0,7173.1
터키,2014,제산제,2.3,7173.1
터키,2014,소화성궤양 및 위장용 약물,54.8,7173.1
터키,2014,당뇨 약물,61.1,7173.1
터키,2014,심장 배당체,1.5,7173.1
터키,2014,항 부정맥제,0.9,7173.1
터키,2014,이뇨제,7.3,7173.1
터키,2014,향균제,39.5,7173.1
터키,2014,진통제,10.6,7173.1
터키,2014,수면제 및 진정제,0.0,7173.1
터키,2014,항우울제,38.1,7173.1
터키,2015,소화관 및 신진대사,286.2,6729.2
터키,2015,제산제,2.4,6729.2
터키,2015,소화성궤양 및 위장용 약물,59.6,6729.2
터키,2015,당뇨 약물,64.2,6729.2
터키,2015,심장 배당체,1.4,6729.2
터키,2015,항 부정맥제,0.9,6729.2
터키,2015,이뇨제,7.5,6729.2
터키,2015,향균제,40.2,6729.2
터키,2015,진통제,9.9,6729.2
터키,2015,수면제 및 진정제,0.0,6729.2
터키,2015,항우울제,40.7,6729.2
터키,2016,소화관 및 신진대사,332.7,7249.1
터키,2016,제산제,2.2,7249.1
터키,2016,소화성궤양 및 위장용 약물,59.2,7249.1
터키,2016,당뇨 약물,66.5,7249.1
터키,2016,심장 배당체,1.3,7249.1
터키,2016,항 부정맥제,1.0,7249.1
터키,2016,이뇨제,7.9,7249.1
터키,2016,향균제,40.2,7249.1
터키,2016,진통제,10.6,7249.1
터키,2016,수면제 및 진정제,0.0,7249.1
터키,2016,항우울제,41.0,7249.1
터키,2017,소화관 및 신진대사,340.6,6975.5
터키,2017,제산제,2.1,6975.5
터키,2017,소화성궤양 및 위장용 약물,66.6,6975.5
터키,2017,당뇨 약물,72.6,6975.5
터키,2017,심장 배당체,1.3,6975.5
터키,2017,항 부정맥제,1.0,6975.5
터키,2017,이뇨제,8.1,6975.5
터키,2017,향균제,35.3,6975.5
터키,2017,진통제,10.4,6975.5
터키,2017,수면제 및 진정제,0.0,6975.5
터키,2017,항우울제,43.5,6975.5
터키,2018,소화관 및 신진대사,387.4,6635.4
터키,2018,제산제,2.5,6635.4
터키,2018,소화성궤양 및 위장용 약물,75.8,6635.4
터키,2018,당뇨 약물,75.4,6635.4
터키,2018,심장 배당체,1.2,6635.4
터키,2018,항 부정맥제,1.1,6635.4
터키,2018,이뇨제,9.3,6635.4
터키,2018,향균제,31.0,6635.4
터키,2018,진통제,10.0,6635.4
터키,2018,수면제 및 진정제,0.0,6635.4
터키,2018,항우울제,44.1,6635.4
터키,2019,소화관 및 신진대사,392.4,7414.8
터키,2019,제산제,2.5,7414.8
터키,2019,소화성궤양 및 위장용 약물,76.2,7414.8
터키,2019,당뇨 약물,79.1,7414.8
터키,2019,심장 배당체,1.1,7414.8
터키,2019,항 부정맥제,1.2,7414.8
터키,2019,이뇨제,9.5,7414.8
터키,2019,향균제,31.9,7414.8
터키,2019,진통제,10.0,7414.8
터키,2019,수면제 및 진정제,0.0,7414.8
터키,2019,항우울제,44.2,7414.8
캐나다,2012,소화관 및 신진대사,112.5,24313.2
캐나다,2012,소화성궤양 및 위장용 약물,40.3,24313.2
캐나다,2012,당뇨 약물,57.6,24313.2
캐나다,2012,심장 배당체,2.2,24313.2
캐나다,2012,항 부정맥제,1.8,24313.2
캐나다,2012,이뇨제,48.0,24313.2
캐나다,2012,향균제,15.4,24313.2
캐나다,2012,진통제,9.8,24313.2
캐나다,2012,수면제 및 진정제,12.3,24313.2
캐나다,2012,항우울제,83.7,24313.2
캐나다,2013,소화관 및 신진대사,114.2,23860.1
캐나다,2013,소화성궤양 및 위장용 약물,42.2,23860.1
캐나다,2013,당뇨 약물,58.1,23860.1
캐나다,2013,심장 배당체,2.0,23860.1
캐나다,2013,항 부정맥제,1.8,23860.1
캐나다,2013,이뇨제,46.1,23860.1
캐나다,2013,향균제,15.3,23860.1
캐나다,2013,진통제,9.4,23860.1
캐나다,2013,수면제 및 진정제,11.9,23860.1
캐나다,2013,항우울제,85.0,23860.1
캐나다,2014,소화관 및 신진대사,117.6,23097.6
캐나다,2014,소화성궤양 및 위장용 약물,46.7,23097.6
캐나다,2014,당뇨 약물,58.1,23097.6
캐나다,2014,심장 배당체,1.8,23097.6
캐나다,2014,항 부정맥제,1.7,23097.6
캐나다,2014,이뇨제,44.8,23097.6
캐나다,2014,향균제,14.9,23097.6
캐나다,2014,진통제,9.3,23097.6
캐나다,2014,수면제 및 진정제,11.7,23097.6
캐나다,2014,항우울제,87.4,23097.6
캐나다,2015,소화관 및 신진대사,119.3,21212.6
캐나다,2015,소화성궤양 및 위장용 약물,48.3,21212.6
캐나다,2015,당뇨 약물,58.3,21212.6
캐나다,2015,심장 배당체,1.7,21212.6
캐나다,2015,항 부정맥제,1.6,21212.6
캐나다,2015,이뇨제,43.4,21212.6
캐나다,2015,향균제,14.8,21212.6
캐나다,2015,진통제,9.5,21212.6
캐나다,2015,수면제 및 진정제,11.1,21212.6
캐나다,2015,항우울제,90.1,21212.6
캐나다,2016,소화관 및 신진대사,208.8,21374.5
캐나다,2016,소화성궤양 및 위장용 약물,78.7,21374.5
캐나다,2016,당뇨 약물,84.2,21374.5
캐나다,2016,심장 배당체,1.6,21374.5
캐나다,2016,항 부정맥제,1.6,21374.5
캐나다,2016,이뇨제,45.5,21374.5
캐나다,2016,향균제,17.8,21374.5
캐나다,2016,진통제,15.7,21374.5
캐나다,2016,수면제 및 진정제,24.7,21374.5
캐나다,2016,항우울제,106.6,21374.5
캐나다,2017,소화관 및 신진대사,209.9,22941.2
캐나다,2017,소화성궤양 및 위장용 약물,77.5,22941.2
캐나다,2017,당뇨 약물,86.7,22941.2
캐나다,2017,심장 배당체,1.4,22941.2
캐나다,2017,항 부정맥제,1.6,22941.2
캐나다,2017,이뇨제,44.5,22941.2
캐나다,2017,향균제,17.3,22941.2
캐나다,2017,진통제,14.1,22941.2
캐나다,2017,수면제 및 진정제,22.7,22941.2
캐나다,2017,항우울제,110.6,22941.2
캐나다,2018,소화관 및 신진대사,214.4,23617.3
캐나다,2018,소화성궤양 및 위장용 약물,77.6,23617.3
캐나다,2018,당뇨 약물,89.0,23617.3
캐나다,2018,심장 배당체,1.3,23617.3
캐나다,2018,항 부정맥제,1.5,23617.3
캐나다,2018,이뇨제,44.6,23617.3
캐나다,2018,향균제,17.0,23617.3
캐나다,2018,진통제,13.9,23617.3
캐나다,2018,수면제 및 진정제,21.8,23617.3
캐나다,2018,항우울제,114.4,23617.3
캐나다,2019,소화관 및 신진대사,220.2,23989.8
캐나다,2019,소화성궤양 및 위장용 약물,78.7,23989.8
캐나다,2019,당뇨 약물,92.2,23989.8
캐나다,2019,심장 배당체,1.1,23989.8
캐나다,2019,항 부정맥제,1.5,23989.8
캐나다,2019,이뇨제,44.6,23989.8
캐나다,2019,향균제,16.7,23989.8
캐나다,2019,진통제,14.6,23989.8
캐나다,2019,수면제 및 진정제,20.9,23989.8
캐나다,2019,항우울제,121.5,23989.8
칠레,2011,소화관 및 신진대사,110.4,2438.2
칠레,2011,제산제,0.0,2438.2
칠레,2011,소화성궤양 및 위장용 약물,50.5,2438.2
칠레,2011,당뇨 약물,34.0,2438.2
칠레,2011,심장 배당체,1.0,2438.2
칠레,2011,항 부정맥제,1.2,2438.2
칠레,2011,이뇨제,54.7,2438.2
칠레,2011,향균제,11.4,2438.2
칠레,2011,진통제,14.7,2438.2
칠레,2011,수면제 및 진정제,4.9,2438.2
칠레,2011,항우울제,25.2,2438.2
칠레,2012,소화관 및 신진대사,118.6,2565.9
칠레,2012,제산제,0.0,2565.9
칠레,2012,소화성궤양 및 위장용 약물,58.7,2565.9
칠레,2012,당뇨 약물,30.7,2565.9
칠레,2012,심장 배당체,3.1,2565.9
칠레,2012,항 부정맥제,1.7,2565.9
칠레,2012,이뇨제,68.9,2565.9
칠레,2012,향균제,17.6,2565.9
칠레,2012,진통제,22.4,2565.9
칠레,2012,수면제 및 진정제,5.8,2565.9
칠레,2012,항우울제,42.7,2565.9
칠레,2013,소화관 및 신진대사,138.6,2921.6
칠레,2013,제산제,0.0,2921.6
칠레,2013,소화성궤양 및 위장용 약물,63.5,2921.6
칠레,2013,당뇨 약물,45.8,2921.6
칠레,2013,심장 배당체,0.9,2921.6
칠레,2013,항 부정맥제,2.3,2921.6
칠레,2013,이뇨제,53.0,2921.6
칠레,2013,향균제,16.1,2921.6
칠레,2013,진통제,28.5,2921.6
칠레,2013,수면제 및 진정제,7.1,2921.6
칠레,2013,항우울제,41.8,2921.6
칠레,2014,소화관 및 신진대사,144.1,2711.4
칠레,2014,제산제,0.0,2711.4
칠레,2014,소화성궤양 및 위장용 약물,62.1,2711.4
칠레,2014,당뇨 약물,52.1,2711.4
칠레,2014,심장 배당체,2.8,2711.4
칠레,2014,항 부정맥제,2.1,2711.4
칠레,2014,이뇨제,102.3,2711.4
칠레,2014,향균제,17.4,2711.4
칠레,2014,진통제,16.4,2711.4
칠레,2014,수면제 및 진정제,7.6,2711.4
칠레,2014,항우울제,43.4,2711.4
칠레,2015,소화관 및 신진대사,166.5,2788.0
칠레,2015,제산제,0.0,2788.0
칠레,2015,소화성궤양 및 위장용 약물,73.9,2788.0
칠레,2015,당뇨 약물,59.3,2788.0
칠레,2015,심장 배당체,1.9,2788.0
칠레,2015,항 부정맥제,1.6,2788.0
칠레,2015,이뇨제,75.0,2788.0
칠레,2015,향균제,18.5,2788.0
칠레,2015,진통제,27.3,2788.0
칠레,2015,수면제 및 진정제,10.5,2788.0
칠레,2015,항우울제,46.5,2788.0
칠레,2016,소화관 및 신진대사,105.4,2989.7
칠레,2016,제산제,0.0,2989.7
칠레,2016,소화성궤양 및 위장용 약물,42.2,2989.7
칠레,2016,당뇨 약물,46.4,2989.7
칠레,2016,심장 배당체,2.1,2989.7
칠레,2016,항 부정맥제,1.9,2989.7
칠레,2016,이뇨제,80.6,2989.7
칠레,2016,향균제,15.6,2989.7
칠레,2016,진통제,30.0,2989.7
칠레,2016,수면제 및 진정제,7.1,2989.7
칠레,2016,항우울제,36.9,2989.7
칠레,2017,소화관 및 신진대사,108.7,3187.0
칠레,2017,제산제,0.0,3187.0
칠레,2017,소화성궤양 및 위장용 약물,52.3,3187.0
칠레,2017,당뇨 약물,39.8,3187.0
칠레,2017,심장 배당체,0.9,3187.0
칠레,2017,항 부정맥제,1.6,3187.0
칠레,2017,이뇨제,72.1,3187.0
칠레,2017,향균제,14.9,3187.0
칠레,2017,진통제,23.5,3187.0
칠레,2017,수면제 및 진정제,8.3,3187.0
칠레,2017,항우울제,42.0,3187.0
칠레,2018,소화관 및 신진대사,133.5,3581.8
칠레,2018,제산제,0.0,3581.8
칠레,2018,소화성궤양 및 위장용 약물,54.2,3581.8
칠레,2018,당뇨 약물,47.9,3581.8
칠레,2018,심장 배당체,1.0,3581.8
칠레,2018,항 부정맥제,1.7,3581.8
칠레,2018,이뇨제,44.7,3581.8
칠레,2018,향균제,16.9,3581.8
칠레,2018,진통제,20.3,3581.8
칠레,2018,수면제 및 진정제,9.5,3581.8
칠레,2018,항우울제,40.1,3581.8
칠레,2019,소화관 및 신진대사,141.5,3588.7
칠레,2019,제산제,0.0,3588.7
칠레,2019,소화성궤양 및 위장용 약물,52.8,3588.7
칠레,2019,당뇨 약물,48.0,3588.7
칠레,2019,심장 배당체,1.0,3588.7
칠레,2019,항 부정맥제,1.7,3588.7
칠레,2019,이뇨제,69.6,3588.7
칠레,2019,향균제,23.8,3588.7
칠레,2019,진통제,32.6,3588.7
칠레,2019,수면제 및 진정제,23.4,3588.7
칠레,2019,항우울제,52.0,3588.7
칠레,2020,소화관 및 신진대사,204.7,3392.7
칠레,2020,제산제,0.0,3392.7
칠레,2020,소화성궤양 및 위장용 약물,79.5,3392.7
칠레,2020,당뇨 약물,73.7,3392.7
칠레,2020,심장 배당체,1.1,3392.7
칠레,2020,항 부정맥제,1.9,3392.7
칠레,2020,이뇨제,83.0,3392.7
칠레,2020,향균제,24.7,3392.7
칠레,2020,진통제,38.6,3392.7
칠레,2020,수면제 및 진정제,36.3,3392.7
칠레,2020,항우울제,67.0,3392.7
오스트리아,2010,소화관 및 신진대사,115.9,3305.0
오스트리아,2010,제산제,0.0,3305.0
오스트리아,2010,소화성궤양 및 위장용 약물,63.7,3305.0
오스트리아,2010,당뇨 약물,38.4,3305.0
오스트리아,2010,심장 배당체,2.4,3305.0
오스트리아,2010,항 부정맥제,2.6,3305.0
오스트리아,2010,이뇨제,18.5,3305.0
오스트리아,2010,진통제,10.3,3305.0
오스트리아,2010,수면제 및 진정제,5.2,3305.0
오스트리아,2010,항우울제,54.2,3305.0
오스트리아,2011,소화관 및 신진대사,116.9,3548.9
오스트리아,2011,제산제,0.0,3548.9
오스트리아,2011,소화성궤양 및 위장용 약물,66.1,3548.9
오스트리아,2011,당뇨 약물,37.7,3548.9
오스트리아,2011,심장 배당체,2.2,3548.9
오스트리아,2011,항 부정맥제,2.7,3548.9
오스트리아,2011,이뇨제,17.8,3548.9
오스트리아,2011,진통제,10.7,3548.9
오스트리아,2011,수면제 및 진정제,5.4,3548.9
오스트리아,2011,항우울제,57.0,3548.9
오스트리아,2012,소화관 및 신진대사,119.4,3357.1
오스트리아,2012,제산제,0.0,3357.1
오스트리아,2012,소화성궤양 및 위장용 약물,67.6,3357.1
오스트리아,2012,당뇨 약물,39.4,3357.1
오스트리아,2012,심장 배당체,2.0,3357.1
오스트리아,2012,항 부정맥제,2.7,3357.1
오스트리아,2012,이뇨제,17.4,3357.1
오스트리아,2012,진통제,11.0,3357.1
오스트리아,2012,수면제 및 진정제,5.2,3357.1
오스트리아,2012,항우울제,58.0,3357.1
오스트리아,2013,소화관 및 신진대사,121.3,3499.8
오스트리아,2013,제산제,0.0,3499.8
오스트리아,2013,소화성궤양 및 위장용 약물,68.8,3499.8
오스트리아,2013,당뇨 약물,40.2,3499.8
오스트리아,2013,심장 배당체,1.8,3499.8
오스트리아,2013,항 부정맥제,2.7,3499.8
오스트리아,2013,이뇨제,17.2,3499.8
오스트리아,2013,진통제,11.2,3499.8
오스트리아,2013,수면제 및 진정제,4.7,3499.8
오스트리아,2013,항우울제,59.3,3499.8
오스트리아,2014,소화관 및 신진대사,148.3,3703.1
오스트리아,2014,제산제,0.0,3703.1
오스트리아,2014,소화성궤양 및 위장용 약물,68.3,3703.1
오스트리아,2014,당뇨 약물,39.5,3703.1
오스트리아,2014,심장 배당체,1.7,3703.1
오스트리아,2014,항 부정맥제,2.6,3703.1
오스트리아,2014,이뇨제,18.2,3703.1
오스트리아,2014,진통제,11.7,3703.1
오스트리아,2014,수면제 및 진정제,5.0,3703.1
오스트리아,2014,항우울제,60.3,3703.1
오스트리아,2015,소화관 및 신진대사,145.2,3249.6
오스트리아,2015,제산제,0.0,3249.6
오스트리아,2015,소화성궤양 및 위장용 약물,66.1,3249.6
오스트리아,2015,당뇨 약물,38.0,3249.6
오스트리아,2015,심장 배당체,1.4,3249.6
오스트리아,2015,항 부정맥제,2.5,3249.6
오스트리아,2015,이뇨제,16.9,3249.6
오스트리아,2015,진통제,11.8,3249.6
오스트리아,2015,수면제 및 진정제,4.4,3249.6
오스트리아,2015,항우울제,60.3,3249.6
오스트리아,2016,소화관 및 신진대사,128.6,3327.8
오스트리아,2016,제산제,0.0,3327.8
오스트리아,2016,소화성궤양 및 위장용 약물,45.9,3327.8
오스트리아,2016,당뇨 약물,37.6,3327.8
오스트리아,2016,심장 배당체,1.3,3327.8
오스트리아,2016,항 부정맥제,2.4,3327.8
오스트리아,2016,이뇨제,16.5,3327.8
오스트리아,2016,진통제,12.3,3327.8
오스트리아,2016,수면제 및 진정제,4.1,3327.8
오스트리아,2016,항우울제,60.5,3327.8
오스트리아,2017,소화관 및 신진대사,135.6,3532.8
오스트리아,2017,제산제,0.0,3532.8
오스트리아,2017,소화성궤양 및 위장용 약물,35.4,3532.8
오스트리아,2017,당뇨 약물,47.3,3532.8
오스트리아,2017,심장 배당체,1.2,3532.8
오스트리아,2017,항 부정맥제,2.3,3532.8
오스트리아,2017,이뇨제,19.1,3532.8
오스트리아,2017,진통제,12.7,3532.8
오스트리아,2017,수면제 및 진정제,4.1,3532.8
오스트리아,2017,항우울제,61.0,3532.8
오스트리아,2018,소화관 및 신진대사,143.5,3795.2
오스트리아,2018,제산제,0.0,3795.2
오스트리아,2018,소화성궤양 및 위장용 약물,33.6,3795.2
오스트리아,2018,당뇨 약물,46.3,3795.2
오스트리아,2018,심장 배당체,1.0,3795.2
오스트리아,2018,항 부정맥제,2.3,3795.2
오스트리아,2018,이뇨제,18.7,3795.2
오스트리아,2018,진통제,13.4,3795.2
오스트리아,2018,수면제 및 진정제,3.9,3795.2
오스트리아,2018,항우울제,61.3,3795.2
오스트리아,2019,소화관 및 신진대사,144.4,3708.3
오스트리아,2019,제산제,0.0,3708.3
오스트리아,2019,소화성궤양 및 위장용 약물,32.1,3708.3
오스트리아,2019,당뇨 약물,47.5,3708.3
오스트리아,2019,심장 배당체,0.9,3708.3
오스트리아,2019,항 부정맥제,2.2,3708.3
오스트리아,2019,이뇨제,18.9,3708.3
오스트리아,2019,진통제,14.4,3708.3
오스트리아,2019,수면제 및 진정제,3.9,3708.3
오스트리아,2019,항우울제,62.0,3708.3
벨기에,2002,소화관 및 신진대사,83.2,3990.8
벨기에,2002,소화성궤양 및 위장용 약물,29.3,3990.8
벨기에,2002,당뇨 약물,44.6,3990.8
벨기에,2002,심장 배당체,6.2,3990.8
벨기에,2002,항 부정맥제,8.0,3990.8
벨기에,2002,이뇨제,42.0,3990.8
벨기에,2002,향균제,22.7,3990.8
벨기에,2002,진통제,8.9,3990.8
벨기에,2002,항우울제,45.7,3990.8
벨기에,2003,소화관 및 신진대사,91.2,5199.9
벨기에,2003,소화성궤양 및 위장용 약물,37.0,5199.9
벨기에,2003,당뇨 약물,46.2,5199.9
벨기에,2003,심장 배당체,5.5,5199.9
벨기에,2003,항 부정맥제,8.0,5199.9
벨기에,2003,이뇨제,42.6,5199.9
벨기에,2003,향균제,22.6,5199.9
벨기에,2003,진통제,9.7,5199.9
벨기에,2003,항우울제,48.6,5199.9
벨기에,2004,소화관 및 신진대사,100.7,6042.3
벨기에,2004,소화성궤양 및 위장용 약물,45.3,6042.3
벨기에,2004,당뇨 약물,47.4,6042.3
벨기에,2004,심장 배당체,5.0,6042.3
벨기에,2004,항 부정맥제,8.0,6042.3
벨기에,2004,이뇨제,44.0,6042.3
벨기에,2004,향균제,21.3,6042.3
벨기에,2004,진통제,10.4,6042.3
벨기에,2004,항우울제,52.7,6042.3
벨기에,2005,소화관 및 신진대사,102.9,6253.2
벨기에,2005,소화성궤양 및 위장용 약물,47.6,6253.2
벨기에,2005,당뇨 약물,47.6,6253.2
