,대륙,국가,공통국가여부,항목구분,연도,값(백만 자국화폐),전년대비증감,key_currency_x,key_currency_ext,환율(자국화폐단위/$),서비스비용(백만$)
54,아시아,한국,공통,장기 치료,2008,3028227.0,942987.0,2008한국,2008한국,1103.36,2744.55
55,아시아,한국,공통,장기 치료,2009,4854379.0,1826151.0,2009한국,2009한국,1276.35,3803.33
56,아시아,한국,공통,장기 치료,2010,6460014.0,1605636.0,2010한국,2010한국,1156.0,5588.25
57,아시아,한국,공통,장기 치료,2011,7552093.0,1092079.0,2011한국,2011한국,1107.99,6816.03
58,아시아,한국,공통,장기 치료,2012,8373705.0,821612.0,2012한국,2012한국,1126.76,7431.67
59,아시아,한국,공통,장기 치료,2013,9900584.0,1526878.0,2013한국,2013한국,1095.04,9041.3
60,아시아,한국,공통,장기 치료,2014,11496689.0,1596105.0,2014한국,2014한국,1053.12,10916.79
61,아시아,한국,공통,장기 치료,2015,12968628.0,1471939.0,2015한국,2015한국,1131.52,11461.25
62,아시아,한국,공통,장기 치료,2016,14530490.0,1561862.0,2016한국,2016한국,1160.41,12521.86
63,아시아,한국,공통,장기 치료,2017,16777553.0,2247063.0,2017한국,2017한국,1130.48,14841.09
64,아시아,한국,공통,장기 치료,2018,18881943.0,2104390.0,2018한국,2018한국,1100.58,17156.36
65,아시아,한국,공통,장기 치료,2019,20992867.0,2110924.0,2019한국,2019한국,1166.11,18002.48
66,아시아,한국,공통,보건 보조 서비스,1998,51053.0,5798.0,1998한국,1998한국,1394.97,36.6
67,아시아,한국,공통,보건 보조 서비스,1999,66911.0,15858.0,1999한국,1999한국,1188.65,56.29
68,아시아,한국,공통,보건 보조 서비스,2000,74315.0,7404.0,2000한국,2000한국,1131.12,65.7
69,아시아,한국,공통,보건 보조 서비스,2001,591397.0,517082.0,2001한국,2001한국,1290.99,458.1
70,아시아,한국,공통,보건 보조 서비스,2002,588988.0,-2409.0,2002한국,2002한국,1250.65,470.95
71,아시아,한국,공통,보건 보조 서비스,2003,590214.0,1226.0,2003한국,2003한국,1191.85,495.21
72,아시아,한국,공통,보건 보조 서비스,2004,622438.0,32224.0,2004한국,2004한국,1143.74,544.21
73,아시아,한국,공통,보건 보조 서비스,2005,677404.0,54966.0,2005한국,2005한국,1024.13,661.44
74,아시아,한국,공통,보건 보조 서비스,2006,691061.0,13656.0,2006한국,2006한국,955.08,723.56
75,아시아,한국,공통,보건 보조 서비스,2007,826129.0,135069.0,2007한국,2007한국,929.16,889.11
76,아시아,한국,공통,보건 보조 서비스,2008,754483.0,-71646.0,2008한국,2008한국,1103.36,683.8
77,아시아,한국,공통,보건 보조 서비스,2009,1044731.0,290247.0,2009한국,2009한국,1276.35,818.53
78,아시아,한국,공통,보건 보조 서비스,2010,1250712.0,205981.0,2010한국,2010한국,1156.0,1081.93
79,아시아,한국,공통,보건 보조 서비스,2011,1200225.0,-50487.0,2011한국,2011한국,1107.99,1083.25
80,아시아,한국,공통,보건 보조 서비스,2012,1253115.0,52890.0,2012한국,2012한국,1126.76,1112.14
81,아시아,한국,공통,보건 보조 서비스,2013,1311514.0,58399.0,2013한국,2013한국,1095.04,1197.69
82,아시아,한국,공통,보건 보조 서비스,2014,1332569.0,21055.0,2014한국,2014한국,1053.12,1265.35
83,아시아,한국,공통,보건 보조 서비스,2015,1541036.0,208467.0,2015한국,2015한국,1131.52,1361.92
84,아시아,한국,공통,보건 보조 서비스,2016,1729919.0,188884.0,2016한국,2016한국,1160.41,1490.78
85,아시아,한국,공통,보건 보조 서비스,2017,1941123.0,211203.0,2017한국,2017한국,1130.48,1717.08
86,아시아,한국,공통,보건 보조 서비스,2018,2216029.0,274906.0,2018한국,2018한국,1100.58,2013.51
87,아시아,한국,공통,보건 보조 서비스,2019,2507934.0,291905.0,2019한국,2019한국,1166.11,2150.68
88,아시아,한국,공통,의료품,1998,4917887.0,-95397.0,1998한국,1998한국,1394.97,3525.44
89,아시아,한국,공통,의료품,1999,5704389.0,786502.0,1999한국,1999한국,1188.65,4799.05
90,아시아,한국,공통,의료품,2000,6806548.0,1102159.0,2000한국,2000한국,1131.12,6017.53
91,아시아,한국,공통,의료품,2001,8751817.0,1945269.0,2001한국,2001한국,1290.99,6779.15
92,아시아,한국,공통,의료품,2002,9449387.0,697571.0,2002한국,2002한국,1250.65,7555.58
93,아시아,한국,공통,의료품,2003,11152465.0,1703078.0,2003한국,2003한국,1191.85,9357.27
94,아시아,한국,공통,의료품,2004,11975264.0,822799.0,2004한국,2004한국,1143.74,10470.27
95,아시아,한국,공통,의료품,2005,12915602.0,940338.0,2005한국,2005한국,1024.13,12611.29
96,아시아,한국,공통,의료품,2006,14568646.0,1653044.0,2006한국,2006한국,955.08,15253.85
97,아시아,한국,공통,의료품,2007,15968343.0,1399697.0,2007한국,2007한국,929.16,17185.78
98,아시아,한국,공통,의료품,2008,17266679.0,1298336.0,2008한국,2008한국,1103.36,15649.18
99,아시아,한국,공통,의료품,2009,18799001.0,1532322.0,2009한국,2009한국,1276.35,14728.72
100,아시아,한국,공통,의료품,2010,20780076.0,1981075.0,2010한국,2010한국,1156.0,17975.84
101,아시아,한국,공통,의료품,2011,21827083.0,1047008.0,2011한국,2011한국,1107.99,19699.71
102,아시아,한국,공통,의료품,2012,22154797.0,327713.0,2012한국,2012한국,1126.76,19662.39
103,아시아,한국,공통,의료품,2013,22511851.0,357054.0,2013한국,2013한국,1095.04,20558.02
104,아시아,한국,공통,의료품,2014,23669787.0,1157936.0,2014한국,2014한국,1053.12,22475.87
105,아시아,한국,공통,의료품,2015,25412036.0,1742249.0,2015한국,2015한국,1131.52,22458.32
106,아시아,한국,공통,의료품,2016,27762293.0,2350257.0,2016한국,2016한국,1160.41,23924.56
107,아시아,한국,공통,의료품,2017,29078069.0,1315776.0,2017한국,2017한국,1130.48,25721.88
108,아시아,한국,공통,의료품,2018,31307968.0,2229898.0,2018한국,2018한국,1100.58,28446.79
109,아시아,한국,공통,의료품,2019,33591242.0,2283275.0,2019한국,2019한국,1166.11,28806.24
110,아시아,한국,공통,예방치료,1998,416697.0,17776.0,1998한국,1998한국,1394.97,298.71
111,아시아,한국,공통,예방치료,1999,432257.0,15560.0,1999한국,1999한국,1188.65,363.65
112,아시아,한국,공통,예방치료,2000,538859.0,106602.0,2000한국,2000한국,1131.12,476.39
113,아시아,한국,공통,예방치료,2001,575199.0,36340.0,2001한국,2001한국,1290.99,445.55
114,아시아,한국,공통,예방치료,2002,664803.0,89604.0,2002한국,2002한국,1250.65,531.57
115,아시아,한국,공통,예방치료,2003,788809.0,124006.0,2003한국,2003한국,1191.85,661.84
116,아시아,한국,공통,예방치료,2004,820066.0,31257.0,2004한국,2004한국,1143.74,717.0
117,아시아,한국,공통,예방치료,2005,1060171.0,240105.0,2005한국,2005한국,1024.13,1035.19
118,아시아,한국,공통,예방치료,2006,1317014.0,256842.0,2006한국,2006한국,955.08,1378.96
119,아시아,한국,공통,예방치료,2007,1513830.0,196816.0,2007한국,2007한국,929.16,1629.25
120,아시아,한국,공통,예방치료,2008,1847225.0,333396.0,2008한국,2008한국,1103.36,1674.18
121,아시아,한국,공통,예방치료,2009,2471923.0,624698.0,2009한국,2009한국,1276.35,1936.71
122,아시아,한국,공통,예방치료,2010,2632384.0,160461.0,2010한국,2010한국,1156.0,2277.15
123,아시아,한국,공통,예방치료,2011,2794771.0,162387.0,2011한국,2011한국,1107.99,2522.38
124,아시아,한국,공통,예방치료,2012,3138501.0,343729.0,2012한국,2012한국,1126.76,2785.42
125,아시아,한국,공통,예방치료,2013,3411039.0,272539.0,2013한국,2013한국,1095.04,3114.99
126,아시아,한국,공통,예방치료,2014,3672864.0,261825.0,2014한국,2014한국,1053.12,3487.6
127,아시아,한국,공통,예방치료,2015,4409475.0,736611.0,2015한국,2015한국,1131.52,3896.95
128,아시아,한국,공통,예방치료,2016,4482483.0,73008.0,2016한국,2016한국,1160.41,3862.84
129,아시아,한국,공통,예방치료,2017,5171599.0,689116.0,2017한국,2017한국,1130.48,4574.69
130,아시아,한국,공통,예방치료,2018,5073899.0,-97700.0,2018한국,2018한국,1100.58,4610.2
131,아시아,한국,공통,예방치료,2019,5524023.0,450124.0,2019한국,2019한국,1166.11,4737.14
132,아시아,한국,공통,정부의료체계 및 재정행정,1998,1234413.0,49279.0,1998한국,1998한국,1394.97,884.9
133,아시아,한국,공통,정부의료체계 및 재정행정,1999,1187427.0,-46986.0,1999한국,1999한국,1188.65,998.97
134,아시아,한국,공통,정부의료체계 및 재정행정,2000,1359039.0,171612.0,2000한국,2000한국,1131.12,1201.5
135,아시아,한국,공통,정부의료체계 및 재정행정,2001,1412660.0,53622.0,2001한국,2001한국,1290.99,1094.25
136,아시아,한국,공통,정부의료체계 및 재정행정,2002,1499793.0,87132.0,2002한국,2002한국,1250.65,1199.21
137,아시아,한국,공통,정부의료체계 및 재정행정,2003,1633320.0,133527.0,2003한국,2003한국,1191.85,1370.41
138,아시아,한국,공통,정부의료체계 및 재정행정,2004,1723896.0,90576.0,2004한국,2004한국,1143.74,1507.24
139,아시아,한국,공통,정부의료체계 및 재정행정,2005,1850371.0,126475.0,2005한국,2005한국,1024.13,1806.77
140,아시아,한국,공통,정부의료체계 및 재정행정,2006,2025017.0,174646.0,2006한국,2006한국,955.08,2120.26
141,아시아,한국,공통,정부의료체계 및 재정행정,2007,2164328.0,139311.0,2007한국,2007한국,929.16,2329.34
142,아시아,한국,공통,정부의료체계 및 재정행정,2008,2375952.0,211624.0,2008한국,2008한국,1103.36,2153.38
143,아시아,한국,공통,정부의료체계 및 재정행정,2009,2695285.0,319333.0,2009한국,2009한국,1276.35,2111.71
144,아시아,한국,공통,정부의료체계 및 재정행정,2010,3138013.0,442728.0,2010한국,2010한국,1156.0,2714.54
145,아시아,한국,공통,정부의료체계 및 재정행정,2011,3135322.0,-2690.0,2011한국,2011한국,1107.99,2829.74
146,아시아,한국,공통,정부의료체계 및 재정행정,2012,3277790.0,142468.0,2012한국,2012한국,1126.76,2909.04
147,아시아,한국,공통,정부의료체계 및 재정행정,2013,3241043.0,-36747.0,2013한국,2013한국,1095.04,2959.75
148,아시아,한국,공통,정부의료체계 및 재정행정,2014,3719767.0,478724.0,2014한국,2014한국,1053.12,3532.14
149,아시아,한국,공통,정부의료체계 및 재정행정,2015,3806722.0,86955.0,2015한국,2015한국,1131.52,3364.26
150,아시아,한국,공통,정부의료체계 및 재정행정,2016,4014039.0,207317.0,2016한국,2016한국,1160.41,3459.16
151,아시아,한국,공통,정부의료체계 및 재정행정,2017,4343267.0,329228.0,2017한국,2017한국,1130.48,3841.97
152,아시아,한국,공통,정부의료체계 및 재정행정,2018,4755094.0,411827.0,2018한국,2018한국,1100.58,4320.53
153,아시아,한국,공통,정부의료체계 및 재정행정,2019,5472902.0,717809.0,2019한국,2019한국,1166.11,4693.3
154,아시아,일본,공통,보건 당기 지출,1998,34921388.0,737435.0,1998일본,1998일본,130.91,266758.75
155,아시아,일본,공통,보건 당기 지출,1999,36251345.0,1329957.0,1999일본,1999일본,113.91,318245.5
156,아시아,일본,공통,보건 당기 지출,2000,37664288.0,1412943.0,2000일본,2000일본,107.77,349487.69
157,아시아,일본,공통,보건 당기 지출,2001,38488974.0,824686.0,2001일본,2001일본,121.53,316703.48
158,아시아,일본,공통,보건 당기 지출,2002,38561530.0,72556.0,2002일본,2002일본,125.39,307532.74
159,아시아,일본,공통,보건 당기 지출,2003,39227162.0,665632.0,2003일본,2003일본,115.93,338369.38
160,아시아,일본,공통,보건 당기 지출,2004,39891334.0,664172.0,2004일본,2004일본,108.19,368715.54
161,아시아,일본,공통,보건 당기 지출,2005,40781036.0,889702.0,2005일본,2005일본,110.22,369996.7
162,아시아,일본,공통,보건 당기 지출,2006,41137938.0,356902.0,2006일본,2006일본,116.3,353722.6
163,아시아,일본,공통,보건 당기 지출,2007,41952648.0,814711.0,2007일본,2007일본,117.75,356285.76
164,아시아,일본,공통,보건 당기 지출,2008,42696158.0,743510.0,2008일본,2008일본,103.36,413082.02
165,아시아,일본,공통,보건 당기 지출,2009,44340454.0,1644296.0,2009일본,2009일본,93.57,473874.68
166,아시아,일본,공통,보건 당기 지출,2010,45816270.0,1475816.0,2010일본,2010일본,87.78,521944.29
167,아시아,일본,공통,보건 당기 지출,2011,52171453.0,6355183.0,2011일본,2011일본,79.81,653695.69
168,아시아,일본,공통,보건 당기 지출,2012,53409115.0,1237662.0,2012일본,2012일본,79.79,669371.04
169,아시아,일본,공통,보건 당기 지출,2013,54300669.0,891553.0,2013일본,2013일본,97.6,556359.31
170,아시아,일본,공통,보건 당기 지출,2014,55663306.0,1362637.0,2014일본,2014일본,105.95,525373.35
171,아시아,일본,공통,보건 당기 지출,2015,57836854.0,2173549.0,2015일본,2015일본,121.04,477832.57
172,아시아,일본,공통,보건 당기 지출,2016,58023364.0,186510.0,2016일본,2016일본,108.79,533352.0
173,아시아,일본,공통,보건 당기 지출,2017,58936955.0,913591.0,2017일본,2017일본,112.17,525425.29
174,아시아,일본,공통,보건 당기 지출,2018,59781418.0,844463.0,2018일본,2018일본,110.42,541400.27
175,아시아,일본,공통,보건 당기 지출,2019,60935107.0,1153689.0,2019일본,2019일본,109.01,558986.4
176,아시아,일본,공통,치료 및 재활 치료,1998,24016284.0,737469.0,1998일본,1998일본,130.91,183456.45
177,아시아,일본,공통,치료 및 재활 치료,1999,24433783.0,417499.0,1999일본,1999일본,113.91,214500.77
178,아시아,일본,공통,치료 및 재활 치료,2000,25058084.0,624301.0,2000일본,2000일본,107.77,232514.47
179,아시아,일본,공통,치료 및 재활 치료,2001,25544496.0,486412.0,2001일본,2001일본,121.53,210190.87
180,아시아,일본,공통,치료 및 재활 치료,2002,25468857.0,-75639.0,2002일본,2002일본,125.39,203117.13
181,아시아,일본,공통,치료 및 재활 치료,2003,25445187.0,-23670.0,2003일본,2003일본,115.93,219487.51
182,아시아,일본,공통,치료 및 재활 치료,2004,25723829.0,278642.0,2004일본,2004일본,108.19,237765.31
183,아시아,일본,공통,치료 및 재활 치료,2005,26123508.0,399679.0,2005일본,2005일본,110.22,237012.41
184,아시아,일본,공통,치료 및 재활 치료,2006,26195427.0,71920.0,2006일본,2006일본,116.3,225240.13
185,아시아,일본,공통,치료 및 재활 치료,2007,26928444.0,733017.0,2007일본,2007일본,117.75,228691.67
186,아시아,일본,공통,치료 및 재활 치료,2008,27559814.0,631370.0,2008일본,2008일본,103.36,266639.07
187,아시아,일본,공통,치료 및 재활 치료,2009,28035531.0,475717.0,2009일본,2009일본,93.57,299620.94
188,아시아,일본,공통,치료 및 재활 치료,2010,29308170.0,1272638.0,2010일본,2010일본,87.78,333882.09
189,아시아,일본,공통,치료 및 재활 치료,2011,29989520.0,681350.0,2011일본,2011일본,79.81,375761.43
190,아시아,일본,공통,치료 및 재활 치료,2012,30472562.0,483042.0,2012일본,2012일본,79.79,381909.54
191,아시아,일본,공통,치료 및 재활 치료,2013,30801457.0,328895.0,2013일본,2013일본,97.6,315588.7
192,아시아,일본,공통,치료 및 재활 치료,2014,31371008.0,569551.0,2014일본,2014일본,105.95,296092.57
193,아시아,일본,공통,치료 및 재활 치료,2015,32072013.0,701005.0,2015일본,2015일본,121.04,264970.37
194,아시아,일본,공통,치료 및 재활 치료,2016,32551730.0,479717.0,2016일본,2016일본,108.79,299216.2
195,아시아,일본,공통,치료 및 재활 치료,2017,33303683.0,751952.0,2017일본,2017일본,112.17,296903.66
196,아시아,일본,공통,치료 및 재활 치료,2018,33762649.0,458966.0,2018일본,2018일본,110.42,305765.7
197,아시아,일본,공통,장기 치료,1998,2338202.0,351556.0,1998일본,1998일본,130.91,17861.14
198,아시아,일본,공통,장기 치료,1999,2838413.0,500211.0,1999일본,1999일본,113.91,24918.03
199,아시아,일본,공통,장기 치료,2000,3095585.0,257171.0,2000일본,2000일본,107.77,28724.0
200,아시아,일본,공통,장기 치료,2001,3244570.0,148986.0,2001일본,2001일본,121.53,26697.69
201,아시아,일본,공통,장기 치료,2002,3377834.0,133264.0,2002일본,2002일본,125.39,26938.62
202,아시아,일본,공통,장기 치료,2003,3621927.0,244092.0,2003일본,2003일본,115.93,31242.36
203,아시아,일본,공통,장기 치료,2004,3822227.0,200300.0,2004일본,2004일본,108.19,35328.84
204,아시아,일본,공통,장기 치료,2005,3984423.0,162196.0,2005일본,2005일본,110.22,36149.73
205,아시아,일본,공통,장기 치료,2006,3892851.0,-91572.0,2006일본,2006일본,116.3,33472.49
206,아시아,일본,공통,장기 치료,2007,3949104.0,56254.0,2007일본,2007일본,117.75,33538.04
207,아시아,일본,공통,장기 치료,2008,3853033.0,-96071.0,2008일본,2008일본,103.36,37277.8
208,아시아,일본,공통,장기 치료,2009,4099081.0,246048.0,2009일본,2009일본,93.57,43807.64
209,아시아,일본,공통,장기 치료,2010,4204783.0,105701.0,2010일본,2010일본,87.78,47901.38
210,아시아,일본,공통,장기 치료,2011,8992819.0,4788036.0,2011일본,2011일본,79.81,112677.85
211,아시아,일본,공통,장기 치료,2012,9479683.0,486864.0,2012일본,2012일본,79.79,118807.91
212,아시아,일본,공통,장기 치료,2013,9884985.0,405302.0,2013일본,2013일본,97.6,101280.58
213,아시아,일본,공통,장기 치료,2014,10321666.0,436680.0,2014일본,2014일본,105.95,97420.16
214,아시아,일본,공통,장기 치료,2015,10563070.0,241404.0,2015일본,2015일본,121.04,87269.25
215,아시아,일본,공통,장기 치료,2016,10787830.0,224761.0,2016일본,2016일본,108.79,99161.96
216,아시아,일본,공통,장기 치료,2017,10832115.0,44285.0,2017일본,2017일본,112.17,96568.73
217,아시아,일본,공통,장기 치료,2018,11162686.0,330571.0,2018일본,2018일본,110.42,101092.97
218,아시아,일본,공통,보건 보조 서비스,1998,208382.0,8616.0,1998일본,1998일본,130.91,1591.8
219,아시아,일본,공통,보건 보조 서비스,1999,213766.0,5384.0,1999일본,1999일본,113.91,1876.62
220,아시아,일본,공통,보건 보조 서비스,2000,250074.0,36308.0,2000일본,2000일본,107.77,2320.44
221,아시아,일본,공통,보건 보조 서비스,2001,271751.0,21677.0,2001일본,2001일본,121.53,2236.08
222,아시아,일본,공통,보건 보조 서비스,2002,304453.0,32702.0,2002일본,2002일본,125.39,2428.05
223,아시아,일본,공통,보건 보조 서비스,2003,304548.0,96.0,2003일본,2003일본,115.93,2627.0
224,아시아,일본,공통,보건 보조 서비스,2004,305783.0,1235.0,2004일본,2004일본,108.19,2826.35
225,아시아,일본,공통,보건 보조 서비스,2005,300575.0,-5208.0,2005일본,2005일본,110.22,2727.05
226,아시아,일본,공통,보건 보조 서비스,2006,297292.0,-3283.0,2006일본,2006일본,116.3,2556.25
227,아시아,일본,공통,보건 보조 서비스,2007,302415.0,5123.0,2007일본,2007일본,117.75,2568.28
228,아시아,일본,공통,보건 보조 서비스,2008,308509.0,6095.0,2008일본,2008일본,103.36,2984.8
229,아시아,일본,공통,보건 보조 서비스,2009,332736.0,24227.0,2009일본,2009일본,93.57,3556.01
230,아시아,일본,공통,보건 보조 서비스,2010,343017.0,10280.0,2010일본,2010일본,87.78,3907.69
231,아시아,일본,공통,보건 보조 서비스,2011,332778.0,-10238.0,2011일본,2011일본,79.81,4169.63
232,아시아,일본,공통,보건 보조 서비스,2012,333588.0,810.0,2012일본,2012일본,79.79,4180.82
233,아시아,일본,공통,보건 보조 서비스,2013,337653.0,4065.0,2013일본,2013일본,97.6,3459.56
234,아시아,일본,공통,보건 보조 서비스,2014,341136.0,3483.0,2014일본,2014일본,105.95,3219.78
235,아시아,일본,공통,보건 보조 서비스,2015,348726.0,7590.0,2015일본,2015일본,121.04,2881.08
236,아시아,일본,공통,보건 보조 서비스,2016,341871.0,-6855.0,2016일본,2016일본,108.79,3142.49
237,아시아,일본,공통,보건 보조 서비스,2017,341353.0,-518.0,2017일본,2017일본,112.17,3043.18
238,아시아,일본,공통,보건 보조 서비스,2018,354367.0,13014.0,2018일본,2018일본,110.42,3209.26
239,아시아,일본,공통,의료품,1998,6598290.0,-401992.0,1998일본,1998일본,130.91,50403.25
240,아시아,일본,공통,의료품,1999,6941863.0,343573.0,1999일본,1999일본,113.91,60941.65
241,아시아,일본,공통,의료품,2000,7323489.0,381626.0,2000일본,2000일본,107.77,67954.8
242,아시아,일본,공통,의료품,2001,7615885.0,292396.0,2001일본,2001일본,121.53,62666.71
243,아시아,일본,공통,의료품,2002,7592347.0,-23538.0,2002일본,2002일본,125.39,60549.86
244,아시아,일본,공통,의료품,2003,8095003.0,502656.0,2003일본,2003일본,115.93,69826.65
245,아시아,일본,공통,의료품,2004,8260278.0,165275.0,2004일본,2004일본,108.19,76349.74
246,아시아,일본,공통,의료품,2005,8577541.0,317263.0,2005일본,2005일본,110.22,77822.0
247,아시아,일본,공통,의료품,2006,8935978.0,358437.0,2006일본,2006일본,116.3,76835.58
248,아시아,일본,공통,의료품,2007,8920352.0,-15626.0,2007일본,2007일본,117.75,75756.7
249,아시아,일본,공통,의료품,2008,8987007.0,66655.0,2008일본,2008일본,103.36,86948.6
250,아시아,일본,공통,의료품,2009,9799990.0,812983.0,2009일본,2009일본,93.57,104734.32
251,아시아,일본,공통,의료품,2010,9880949.0,80959.0,2010일본,2010일본,87.78,112564.92
252,아시아,일본,공통,의료품,2011,10596748.0,715799.0,2011일본,2011일본,79.81,132774.69
253,아시아,일본,공통,의료품,2012,10864928.0,268180.0,2012일본,2012일본,79.79,136169.04
254,아시아,일본,공통,의료품,2013,11039061.0,174133.0,2013일본,2013일본,97.6,113105.13
255,아시아,일본,공통,의료품,2014,11327786.0,288725.0,2014일본,2014일본,105.95,106916.34
