"국가별","항목","단위","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"아제르바이잔","경상(GDP 대비%)","","","","2.94894385","2.75584769","2.73274231","2.73488688","2.66530418","2.26107669","2.06678391","1.99021435","1.93880868","2.6137836","2.48996663","2.44641805","2.96481562","3.03672314","3.37713742","4.10663605","4.03655434","3.73651457","3.51373243",
"아제르바이잔","공공(경상보건비 대비%)","","","","29.39671898","28.66877365","26.87660217","28.4839592","32.42870331","40.59415817","41.90460205","45.56750488","44.55003738","43.26019669","40.5940361","38.74684525","37.56232452","35.00720596","33.40050125","31.71983719","28.82154846","26.81677055","26.52778053",
"아제르바이잔","1인당 보건지출(US$)","","","","19.14171791","19.18987465","20.59066963","23.80161095","27.38257599","35.07611465","50.24787903","75.39520264","107.36143494","129.7258606","145.84526062","176.40847778","222.98551941","239.95080566","267.3097229","226.51002502","156.99572754","155.0982666","165.7674408",
"아제르바이잔","외부보건비(경상보건비 대비%)","","","","1.9953692","1.2476753",".83265913","2.64820457","1.7962476",".89534754","1.70744336","1.71862221","1.28183937","1.20471382","1.48377061","1.38465714","1.80993509",".7871924","1.02226794",".83127201",".50794774",".67094833",".66741472",
"바레인","경상(GDP 대비%)","","","","3.56132603","3.68104196","3.85486555","3.98856878","3.47338176","3.17561626","3.06248927","3.30373311","3.28510404","4.05684614","3.84291482","3.57691312","4.10642147","4.30853891","4.40681839","4.97506618","4.85823059","4.74813128","4.13356352",
"바레인","공공(경상보건비 대비%)","","","","66.03279114","66.88708496","66.71940613","62.43166351","64.97053528","67.61737823","68.94334412","65.51988983","66.06523132","63.9039917","62.96856308","62.53778839","65.34840393","65.18132782","65.06402588","64.88478851","61.36419678","57.97850037","58.83235168",
"바레인","1인당 보건지출(US$)","","","","485.6864624","484.90734863","503.03005981","567.23797607","550.35980225","570.29425049","591.3112793","692.96832275","757.73614502","785.26031494","796.31842041","805.3147583","971.36846924","1066.13244629","1101.25683594","1128.75915527","1098.88354492","1126.06689453","994.17901611",
"바레인","외부보건비(경상보건비 대비%)","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"방글라데시","경상(GDP 대비%)","","","","2.00194621","1.98674393","2.15190268","2.19150281","2.21405101","2.27546501","2.32201099","2.38769174","2.34595656","2.4033823","2.49591565","2.56593657","2.57301211","2.50334787","2.49601078","2.46311474","2.31178045","2.27522182","2.3428061",
"방글라데시","공공(경상보건비 대비%)","","","","28.69051743","22.07117844","24.71072578","25.00970459","24.43157959","22.1964798","23.08750534","22.87058258","21.33563423","20.35685921","21.02813721","20.92262268","20.47002983","19.73048019","19.03475761","17.63069725","16.41582489","16.68619728","16.97912025",
"방글라데시","1인당 보건지출(US$)","","","","8.56026173","8.36238003","9.34001255","10.27598572","11.08631516","11.60705376","12.33577824","14.31881523","15.80424309","17.92318726","20.80270004","22.84561729","23.45907974","26.67387962","29.74625206","32.84908676","34.58186722","37.43084717","41.90905762",
"방글라데시","외부보건비(경상보건비 대비%)","","","","7.9568243","10.0140419","10.15777397","9.81732559","10.16995907","9.5910635","8.26798153","8.19128704","8.51236057","9.59041405","9.18575096","8.82406044","9.36032486","9.33268929","8.57872295","8.0263319","7.81743145","6.75054789","6.51904058",
"부탄","경상(GDP 대비%)","","","","4.31020021","4.85057402","4.45451164","4.00747824","4.46532822","4.01967382","4.29145336","4.02995634","3.30082774","3.4614768","3.47357607","3.26995778","3.53425479","3.62129545","3.46891737","3.65720773","3.48117137","3.24491644","3.0574255",
"부탄","공공(경상보건비 대비%)","","","","79.66617584","70.69815063","72.40852356","69.16651917","66.05214691","63.90855789","55.88533401","64.55660248","69.12611389","73.8507843","72.05212402","73.41854858","69.57640839","68.88393402","69.01010132","74.25157928","73.95301819","74.51843262","79.54949951",
"부탄","1인당 보건지출(US$)","","","","30.89350891","35.94556046","36.13760376","37.73608017","46.90710449","47.74116898","55.31650925","66.06005859","58.85731506","61.12592697","74.09108734","79.5575943","85.97568512","88.24406433","88.89917755","98.56243896","98.90504456","104.85510254","102.73851776",
"부탄","외부보건비(경상보건비 대비%)","","","","8.1200285","18.82071877","8.89116859","11.47806835","17.37086868","19.01649094","29.11175156","20.92226982","15.00100899","9.11180496","11.01529884","9.75923061","8.70930767","9.6905365","8.65128899","5.0743556","4.76110172","11.16815472","6.05179501",
"브루나이","경상(GDP 대비%)","","","","2.5432477","2.54193902","2.52989697","2.59788561","2.54709625","2.22967577","1.90329325","1.94069541","1.86958551","2.39306617","2.27826118","1.86409724","1.85097218","1.898314","1.91436803","2.38708901","2.54828691","2.27036428","2.41291642",
"브루나이","공공(경상보건비 대비%)","","","","84.16868591","83.19325256","83.58944702","82.9486618","83.09052277","83.66603851","85.31147003","87.21500397","89.89176178","90.50060272","91.73865509","91.52812958","91.14807129","90.5925827","92.66539764","95.02642059","95.02018738","94.58857727","95.14074707",
"브루나이","1인당 보건지출(US$)","","","","508.54840088","464.79043579","473.22723389","535.27740479","619.2869873","646.16021729","654.69018555","702.66918945","788.61535645","741.29534912","803.52685547","877.15759277","883.67559814","849.33062744","798.79370117","743.92004395","692.03570557","648.66882324","763.15289307",
"브루나이","외부보건비(경상보건비 대비%)","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"캄보디아","경상(GDP 대비%)","","","","6.54116726","7.01158857","7.23534822","6.94984961","7.0939908","6.8537817","6.11876678","4.9026823","6.60109425","7.58330584","6.9116993","7.50353098","7.26115417","7.10386801","6.70157766","6.19431591","6.11648464","5.928473","6.02654314",
"캄보디아","공공(경상보건비 대비%)","","","","19.7610817","16.8997364","19.3585701","21.37294388","19.35277557","17.80804253","15.68802643","19.82575417","15.51730919","16.05349731","19.71776199","17.0569191","19.37299538","19.98289299","18.49970436","21.70782852","21.80688477","18.39777946","21.27320671",
"캄보디아","1인당 보건지출(US$)","","","","19.73148346","22.56181908","24.55773354","25.21769905","28.98029327","32.49455261","33.02605438","30.96165657","49.2183609","55.96894836","54.29156113","66.20181274","69.04489136","71.99204254","73.28150177","72.03400421","77.65436554","82.05518341","90.55628204",
"캄보디아","외부보건비(경상보건비 대비%)","","","","2.14601564","7.16570616","7.93171978","10.70106506","16.14548111","14.41948605","19.7442627","30.29750252","16.24375343","16.22709274","13.89903545","11.11493587","19.38587189","18.72117996","22.71261215","20.35761261","18.94985962","20.46959496","20.53849983",
"중국","경상(GDP 대비%)","","","","4.47341394","4.22035074","4.34825134","4.38032389","4.25689554","4.14221525","3.91870999","3.65868473","3.87722778","4.32182407","4.2079916","4.32551336","4.5493989","4.71002245","4.77322769","4.8887229","4.98188066","5.15119171","5.35107994",
"중국","공공(경상보건비 대비%)","","","","21.97528839","22.91764259","25.38583565","28.37373924","30.2440052","32.75773621","35.13990021","39.02609253","44.5223999","49.39831543","51.90622711","53.72208786","55.73525238","57.05029297","58.4154892","60.1810112","58.1014328","56.67334747","56.4164238",
"중국","1인당 보건지출(US$)","","","","42.11240387","43.66367722","49.14166641","55.6510849","63.26198578","71.86441803","81.22816467","97.07929993","131.88728333","162.61755371","186.49150085","236.37492371","281.67715454","326.04159546","359.30932617","390.10409546","395.35995483","437.25674438","501.05938721",
"중국","외부보건비(경상보건비 대비%)","","","",".02547255",".22134256",".14548576",".12766516",".12344482",".21010172",".14492926",".18071163",".15566339",".10555609",".12173963",".07550438",".05628394",".05544716",".03018604",".00859982",".00161523",".00044167",".00064801",
"키프로스","경상(GDP 대비%)","","","","5.30800056","5.33940458","5.61565971","5.63568783","5.40558147","5.43580961","5.46357489","5.35744858","6.01427698","6.46531582","6.51767111","6.44928503","6.55474567","6.94518471","6.9609561","6.92568588","6.83423901","6.73828936","6.76976299",
"키프로스","공공(경상보건비 대비%)","","","","41.07523727","41.83108902","44.37968063","43.95331955","41.28710938","41.47130966","42.83105469","43.16282272","41.61203766","42.52925873","45.74547958","47.40314865","45.91551971","45.55609512","42.51803207","41.33290482","41.02439499","41.12656403","42.80192184",
"키프로스","1인당 보건지출(US$)","","","","750.51672363","782.16162109","890.48297119","1145.05847168","1286.97155762","1366.01708984","1474.02062988","1694.27185059","2155.24658203","2105.4777832","2045.2923584","2114.66894531","1899.37255859","1916.32263184","1873.89135742","1616.54943848","1681.90368652","1780.34790039","1954.40686035",
"키프로스","외부보건비(경상보건비 대비%)","","","",".53344464",".49213046",".59972543",".58017385",".54738265",".53368944",".59484863",".61822158",".46357444",".55489761",".90465069",".95644379",".94572675","1.1261003","1.09613359","1.14475298",".20382372",".40682158",".37592995",
"동티모르","경상(GDP 대비%)","","","","","","","2.56448698","1.74315083","1.34485495","1.02515864","1.06450105","1.02795136","1.66058576","1.4271214","1.26124156","1.21793711","2.11266398","2.72246408","3.95390606","4.54700947","4.33655405","4.32635784",
"동티모르","공공(경상보건비 대비%)","","","","","","","45.85962296","39.22528076","40.22555542","39.92942429","17.11161995","48.78695679","44.40432739","50.81828308","51.97423172","59.3156929","52.10203552","54.27038574","57.43532944","49.64109802","65.9895401","60.64471054",
"동티모르","1인당 보건지출(US$)","","","","","","","14.7028265","19.33460426","24.51493263","26.80820465","29.59138489","42.76674271","49.46465683","52.1896553","64.26586914","71.61464691","103.2798233","93.70611572","102.22695923","93.38000488","86.74797058","93.69417572",
"동티모르","외부보건비(경상보건비 대비%)","","","","","","","8.25230885","20.15923309","20.40249062","35.63311386","64.18521881","39.69264984","46.63046646","37.31923676","37.66891479","31.15744209","40.92975998","34.28848267","31.28039932","39.1518898","22.38880348","27.99508858",
"조지아","경상(GDP 대비%)","","","","7.39698839","7.37039232","8.03379822","8.2554884","8.3163681","8.30393314","7.84626532","7.64387417","8.68152046","9.83542728","9.54538918","8.38810349","8.37314224","8.3957243","8.43881893","7.93235874","8.42134666","7.05804443","7.11329746",
"조지아","공공(경상보건비 대비%)","","","","11.40939617","15.83655167","14.35726166","14.2857151","14.56548309","14.92227936","15.52680302","14.70361805","18.17632866","21.42453384","21.31313133","17.48286057","19.44317627","23.55811882","27.60162735","35.56967163","36.6402626","37.21465302","39.46149826",
"조지아","1인당 보건지출(US$)","","","","51.85281754","55.22227478","64.06044006","77.73462677","100.87417603","126.44508362","145.05230713","186.61778259","268.14035034","257.06176758","271.0166626","296.68869019","326.47607422","334.6890564","345.25598145","275.84082031","301.54577637","285.98770142","312.74691772",
"조지아","외부보건비(경상보건비 대비%)","","","","7.15883684","6.91197348","7.84641075","5.79915142","4.89596081","4.24870491","5.73012924","6.6974597","10.08454132","5.42679453","3.63636351","3.37904024","3.42309427","3.01685882","2.47967482","2.5406909","2.25773811","2.38087583",".53532571",
"인도","경상(GDP 대비%)","","","","4.03493309","4.26278067","4.24016762","4.00848055","3.95739198","3.79116249","3.63477802","3.51754212","3.51468062","3.48537874","3.27211905","3.24634194","3.32935309","3.74944162","3.61956549","3.59565997","3.51098323","3.53500652","3.544245",
"인도","공공(경상보건비 대비%)","","","","20.68014336","18.87691307","18.1644249","18.71640396","17.98241234","20.12672806","20.50616074","20.89888573","22.62734604","25.6102047","26.20631409","28.87308502","27.98947906","23.07121849","23.66404152","25.64012718","26.83841324","27.13165283","26.95349503",
"인도","1인당 보건지출(US$)","","","","18.50239372","19.79767799","20.23548126","21.99779892","25.06458473","27.66702271","29.56233788","35.85623932","37.88212204","38.30339432","45.12977219","48.60390472","48.94621658","56.11839676","57.07431793","58.91690063","60.60255051","69.32007599","72.83453369",
"인도","외부보건비(경상보건비 대비%)","","","","2.68156767","2.32904196","2.45289254","1.51889133","2.23435092","1.53180611","1.43511701","1.51285565","1.8706342","1.01849651",".97050869",".8697859",".9425528",".27013245",".74758422",".71176356",".64179951",".8061586",".69543952",
"인도네시아","경상(GDP 대비%)","","","","1.90931416","2.17417526","2.03304791","2.30133748","2.17213154","2.58409047","2.67202187","2.87617064","2.61300087","2.68494344","2.96089983","2.95542026","2.9028666","2.96065068","3.11712098","2.99113512","3.08569908","2.86824059","2.87053037",
"인도네시아","공공(경상보건비 대비%)","","","","28.79972076","35.52000809","33.16466522","35.53804779","34.49432373","28.33224297","31.0941658","35.41857529","34.36326218","34.32635117","25.71891022","27.08188057","30.03822899","31.29010582","34.52715302","41.10298157","45.84150696","46.50973892","49.32933044",
"인도네시아","1인당 보건지출(US$)","","","","16.20165443","17.69404984","19.90477753","26.67323875","27.17466164","35.50515366","46.20238876","58.18482971","61.95336533","65.10107422","92.45002747","107.66735077","107.24232483","107.29182434","108.83856201","99.65550232","109.93779755","110.04980469","111.67790985",
"인도네시아","외부보건비(경상보건비 대비%)","","","","2.82874155","3.92873931","1.33440983","1.22243309","1.88000739","1.59282947","1.33284557","1.62597823","1.14204419","1.5734669","1.30198455",".96913248",".96472639","1.10876131","1.93753314",".41249841",".41535944",".54002184",".3781724",
"이란","경상(GDP 대비%)","","","","4.73503828","5.10817003","4.75592756","5.13223505","5.18574619","5.30572176","5.19862604","5.03977919","5.2816844","6.55954552","6.75473118","6.60725069","6.63648605","5.99379873","6.9135108","7.76057911","8.85950661","8.65966415","8.66168594",
"이란","공공(경상보건비 대비%)","","","","37.70975113","38.26736069","39.26384735","39.40636063","36.43323898","36.87052917","41.67720413","39.82687759","37.07770538","36.65221024","32.35678864","33.35728836","34.30973434","38.49140549","50.37258148","52.08297348","50.6100769","51.24730301","45.92754745",
"이란","1인당 보건지출(US$)","","","","80.85904694","94.61769867","105.77094269","116.61520386","142.40454102","174.84387207","199.80201721","248.38494873","302.4498291","371.42010498","445.66363525","530.71380615","525.58483887","418.88528442","387.37609863","379.27563477","458.25817871","478.36148071","484.28659058",
"이란","외부보건비(경상보건비 대비%)","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".03213044",".02181187",".02105307",
"이라크","경상(GDP 대비%)","","","","","","","2.99196029","3.84302664","2.89739919","2.42247868","3.10637736","3.03573871","3.76825881","3.23055601","2.79131818","2.69039416","2.81939769","2.79654908","3.14279079","3.2278583","4.12501717","4.1062417",
"이라크","공공(경상보건비 대비%)","","","","","","","45.33375549","70.92874908","69.72826385","66.4151535","65.59613037","78.44077301","77.58358002","73.87699127","74.8347702","37.5022583","40.65943527","37.09842682","23.23992157","21.22065544","41.86053467","48.13146591",
"이라크","1인당 보건지출(US$)","","","","","","","28.1536808","53.50862122","53.76188278","57.19505692","98.87436676","132.11465454","167.36329651","150.45606995","168.74902344","183.91607666","199.51622009","190.69332886","156.8372345","154.18597412","214.3563385","239.41305542",
"이라크","외부보건비(경상보건비 대비%)","","","","","","","0","0","0","0","3.79344225","0","0","0",".00860493",".73819375",".73205227",".73442364",".27033681",".37994725",".08311984",".50349408",
"이스라엘","경상(GDP 대비%)","","","","6.80195379","7.22640753","7.1476779","7.08944702","7.02626944","7.12387037","6.91167355","6.88591146","6.96814823","7.06644821","7.01676989","6.97842979","7.11489153","7.0793376","7.15390539","7.10652399","7.15261269","7.49766827","7.51703548",
"이스라엘","공공(경상보건비 대비%)","","","","63.10084915","62.68158722","64.01109314","62.51268387","61.777668","59.93183136","62.32134628","60.59378815","61.2844696","61.21596146","62.80176163","62.58883667","62.60700989","63.4185791","63.13245392","63.41681671","63.46100998","63.84824371","64.70411682",
"이스라엘","1인당 보건지출(US$)","","","","1513.94470215","1559.08325195","1403.31604004","1433.67077637","1488.16137695","1555.03601074","1593.60986328","1799.73254395","2144.8215332","2039.00305176","2234.94970703","2437.04614258","2402.91577148","2678.36181641","2819.57177734","2670.46679688","2813.3359375","3212.79150391","3323.65063477",
"이스라엘","외부보건비(경상보건비 대비%)","","","","2.32931471","2.00613737","2.22130418","2.01321959","2.25946832","2.04154468","1.43766594","1.2978034","1.39181936","1.30442321","1.29174137","1.34634233","1.4116447","1.38764489","1.33274436","1.40435195","1.34107924","1.69399083","1.74059963",
"일본","경상(GDP 대비%)","","","","7.15091324","7.35919762","7.47336435","7.61100292","7.65719414","7.78066874","7.80784273","7.89046049","8.19951439","9.0582962","9.15677357","10.61671734","10.79065323","10.79159355","10.83204937","10.88550663","10.83460999","10.79634285","10.95338821",
"일본","공공(경상보건비 대비%)","","","","80.43053436","80.96407318","80.75297546","79.96380615","80.27420044","81.16796112","80.3215332","81.24928284","81.17061615","81.29418182","81.92724609","83.74062347","83.93068695","84.26091003","84.11785889","84.08298492","84.03720856","84.21469116","84.08919525",
"일본","1인당 보건지출(US$)","","","","2740.67480469","2479.81152344","2404.64648438","2642.22705078","2875.93359375","2883.30004883","2754.37744141","2772.69702148","3213.69555664","3686.15429688","4060.4909668","5087.35644531","5212.18359375","4336.10693359","4099.28027344","3733.37646484","4174.42236328","4121.03662109","4266.58691406",
"일본","외부보건비(경상보건비 대비%)","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"요르단","경상(GDP 대비%)","","","","9.63493919","9.88527393","9.65557861","9.11606026","9.02237034","8.86274529","8.0562067","8.30104733","8.75392818","9.5021286","8.38929749","8.29931927","7.8829236","7.24769545","7.31149483","7.59315777","7.2834053","8.11925125","7.79041338",
"요르단","공공(경상보건비 대비%)","","","","44.98270035","45.62798309","47.408535","46.58573532","39.31506729","51.70670319","51.27906799","56.70307922","60.5128212","67.08152008","66.70902252","67.44730377","64.40774536","61.5516243","64.47507477","53.54001617","48.52394867","44.80053711","49.1771698",
"요르단","1인당 보건지출(US$)","","","","159.14764404","170.04580688","174.00019836","171.04766846","184.51148987","193.5009613","202.44813538","227.0579071","293.36459351","328.34686279","305.29360962","313.93478394","305.71707153","289.82498169","297.8348999","310.6847229","298.80722046","337.75540161","330.14187622",
"요르단","외부보건비(경상보건비 대비%)","","","","2.59515572","2.70270276","2.13414645","3.6418817","14.24657536","2.90771174","5","3.27706075","1.39194143","3.85812068","4.51080036","3.74707246","6.15034199","6.33200264","5.88547182",".8010118","4.19836664","9.30124855","4.55275536",
"카자흐스탄","경상(GDP 대비%)","","","","4.16031075","3.47096658","3.61480379","3.72335052","3.98307776","3.90172386","3.39824891","2.70314837","3.04952645","3.49913764","2.73641396","2.60236669","3.03725982","2.66286755","2.97468424","3.04051089","3.42235565","3.12588406","2.92212725",
"카자흐스탄","공공(경상보건비 대비%)","","","","50.94763565","56.64601135","53.49621201","54.80550003","58.24765015","64.90694427","68.09194946","66.2742691","74.31517029","75.90641022","67.38729858","70.7985611","68.14987946","69.36115265","71.71561432","63.14421844","59.61541367","62.00507736","60.83681107",
"카자흐스탄","1인당 보건지출(US$)","","","","50.99633026","51.56954956","59.46535873","76.02937317","112.70569611","144.70140076","177.00895691","180.50115967","256.54428101","251.49954224","249.2689209","303.98086548","377.12728882","370.09402466","380.66009521","319.04992676","263.48373413","281.61776733","275.85461426",
"카자흐스탄","외부보건비(경상보건비 대비%)","","","","0","0","0","0","0","0","0","0","0","0","1.06958842",".13704963",".15219624",".18265615",".11928894",".08288634",".18342023",".18244004",".15486297",
"쿠웨이트","경상(GDP 대비%)","","","","2.51490784","3.60882568","3.57235289","3.23327255","2.7573216","2.37762237","2.25313878","2.13314509","1.93336701","3.86935997","2.75703621","2.61808419","2.57378602","2.58543897","3.1975801","4.01473618","4.03104591","5.29526615","4.99920797",
"쿠웨이트","공공(경상보건비 대비%)","","","","75.94502258","81.34715271","79.71014404","80.26030731","79.71014404","79.85739899","81.02410126","78.70503998","78.19843292","87.11864471","84.64912415","86.16352081","85.00797272","84.5732193","85.94594574","84.10404968","82.76663208","87.32064056","88.0426178",
"쿠웨이트","1인당 보건지출(US$)","","","","463.85983276","598.41436768","637.44885254","715.62805176","744.81292725","846.28430176","964.01898193","976.56640625","1072.81335449","1453.46044922","1063.56469727","1272.99243164","1337.65258789","1276.94506836","1409.09362793","1199.36352539","1114.57995605","1560.54174805","1711.22338867",
"쿠웨이트","외부보건비(경상보건비 대비%)","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"키르기스스탄","경상(GDP 대비%)","","","","4.41414976","4.27703285","4.59219551","5.82382107","6.20281315","7.45010662","8.3118391","6.93210649","6.5251193","6.89873457","6.95027208","7.10729122","8.50966358","8.18745136","7.35766459","7.14930916","6.41248226","6.18586302","6.53458309",
"키르기스스탄","공공(경상보건비 대비%)","","","","48.35355377","46.83544159","48.33863068","38.91858673","37.67674637","50.99052048","50.67200089","44.50760651","44.38030624","50.45440674","49.13737106","51.96281815","49.60250473","48.20622635","37.36301804","37.92853165","38.94332886","37.95225143","42.83333588",
"키르기스스탄","1인당 보건지출(US$)","","","","12.29036808","13.16161728","14.77255917","22.32097054","27.23155403","36.11393356","45.97068405","50.84462738","63.82300568","60.65092087","61.45378494","79.82953644","99.98524475","104.78458405","94.01564789","80.11972809","71.92367554","76.98123169","85.73608398",
"키르기스스탄","외부보건비(경상보건비 대비%)","","","","0","0","0","10.00204372","15.72711658","6.43977356","10.14785576","12.58087921","6.94320107","10.95561028","7.77112484","4.49704218","7.15380001","5.37857056","6.31272507","7.50359297","3.83458424","5.64198399","4.70072842",
"라오스","경상(GDP 대비%)","","","","4.27513599","4.29031658","3.69751263","4.47920704","3.54057336","3.33673215","2.93200922","3.15345573","2.76727295","3.46300411","2.91155219","1.94457507","2.07637596","2.39984965","2.29845548","2.45366454","2.36087489","2.52514863","2.24630332",
"라오스","공공(경상보건비 대비%)","","","","28.8425827","30.98994255","27.55243683","24.47424316","22.4329586","27.17383575","21.90361023","18.08647156","18.54986191","33.11112213","20.73244667","18.86988068","21.03191948","29.69613647","29.7475071","35.209095","32.4010582","35.18819809","38.69595718",
"라오스","1인당 보건지출(US$)","","","","14.38795185","14.76590061","13.1817894","17.97390747","16.57514763","17.68591881","19.59955788","25.21406746","27.1896553","36.23551178","34.97488022","27.45368385","32.83571243","43.81321716","45.93084335","52.37848282","54.50793457","61.20571136","57.11195755",
"라오스","외부보건비(경상보건비 대비%)","","","","9.8260746","20.51770973","15.64309025","13.90244102","22.36207199","20.21408081","27.84760666","23.54574203","21.9759922","19.59241295","16.71572495","27.60452843","27.02466774","18.99671936","16.78850174","16.96152306","18.11935806","16.67073631","12.45091534",
"레바논","경상(GDP 대비%)","","","","10.83669186","10.56954956","9.2884903","8.67684746","8.00453377","7.55121279","8.65032196","8.54391384","7.78850412","6.99202442","7.4433217","8.1471138","7.93143368","7.57978058","7.84629583","7.67934227","7.98103571","8.44765568","8.35297012",
"레바논","공공(경상보건비 대비%)","","","","29.8194313","32.68748093","32.85641861","33.90073776","37.12298584","38.41510773","41.01180267","41.10623169","39.41144562","39.19461823","40.34015274","43.80325699","50.20128632","49.679245","50.04687881","49.71137619","50.70173645","51.51302338","50.02145767",
"레바논","1인당 보건지출(US$)","","","","479.60198975","459.46578979","418.09030151","385.02694702","370.42245483","345.35742188","400.70999146","445.77624512","477.75701904","515.38916016","577.359375","627.64208984","633.50970459","600.77301025","605.24328613","587.45690918","609.06103516","661.42797852","686.46777344",
"레바논","외부보건비(경상보건비 대비%)","","","",".09588926",".23702471",".28536975",".4679125",".8556881",".47340345",".88672179","1.04804492","1.02603757",".79395425",".74008149",".62803912",".58583051",".79399979",".78508312","1.34386146",".81695831",".94018894",".96910882",
"말레이시아","경상(GDP 대비%)","","","","2.52807355","2.68892479","2.68479466","2.93745017","2.87255526","2.80124164","3.12453246","3.08224082","3.02357388","3.27629399","3.18466234","3.33996487","3.48790693","3.52240086","3.72527027","3.81608534","3.68835807","3.71246052","3.7562995",
"말레이시아","공공(경상보건비 대비%)","","","","46.40903091","50.25876617","50.90801239","51.70617676","50.71707535","48.6484375","53.58478928","52.70171356","52.82800674","55.28608704","52.7180748","52.8372879","53.45288467","53.74512482","54.47322083","53.3106041","51.23987198","51.8584671","51.18119812",
"말레이시아","1인당 보건지출(US$)","","","","111.33849335","114.60871887","121.8090744","142.74668884","154.93487549","163.93273926","203.21253967","233.85643005","268.39004517","250.25923157","292.00302124","352.26922607","382.66152954","391.89956665","427.66070557","379.90048218","362.11486816","380.68572998","427.21704102",
"말레이시아","외부보건비(경상보건비 대비%)","","","","0",".26898146",".21095806",".03250932",".06643306",".02555253",".02310672",".01882586",".01719652",".01211027",".00804171",".00419597",".02351267",".02506765",".05228903",".03395925",".02097413",".02357703",".01281147",
