,대륙,국가,항목구분,연도,서비스비용(백만$)
120,아시아,한국,예방치료,2008,1674.18
121,아시아,한국,예방치료,2009,1936.71
122,아시아,한국,예방치료,2010,2277.15
123,아시아,한국,예방치료,2011,2522.38
124,아시아,한국,예방치료,2012,2785.42
125,아시아,한국,예방치료,2013,3114.99
126,아시아,한국,예방치료,2014,3487.6
127,아시아,한국,예방치료,2015,3896.95
128,아시아,한국,예방치료,2016,3862.84
129,아시아,한국,예방치료,2017,4574.69
130,아시아,한국,예방치료,2018,4610.2
131,아시아,한국,예방치료,2019,4737.14
132,아시아,한국,정부의료체계 및 재정행정,1998,884.9
133,아시아,한국,정부의료체계 및 재정행정,1999,998.97
134,아시아,한국,정부의료체계 및 재정행정,2000,1201.5
135,아시아,한국,정부의료체계 및 재정행정,2001,1094.25
136,아시아,한국,정부의료체계 및 재정행정,2002,1199.21
137,아시아,한국,정부의료체계 및 재정행정,2003,1370.41
138,아시아,한국,정부의료체계 및 재정행정,2004,1507.24
139,아시아,한국,정부의료체계 및 재정행정,2005,1806.77
140,아시아,한국,정부의료체계 및 재정행정,2006,2120.26
141,아시아,한국,정부의료체계 및 재정행정,2007,2329.34
142,아시아,한국,정부의료체계 및 재정행정,2008,2153.38
143,아시아,한국,정부의료체계 및 재정행정,2009,2111.71
144,아시아,한국,정부의료체계 및 재정행정,2010,2714.54
145,아시아,한국,정부의료체계 및 재정행정,2011,2829.74
146,아시아,한국,정부의료체계 및 재정행정,2012,2909.04
147,아시아,한국,정부의료체계 및 재정행정,2013,2959.75
148,아시아,한국,정부의료체계 및 재정행정,2014,3532.14
149,아시아,한국,정부의료체계 및 재정행정,2015,3364.26
150,아시아,한국,정부의료체계 및 재정행정,2016,3459.16
151,아시아,한국,정부의료체계 및 재정행정,2017,3841.97
152,아시아,한국,정부의료체계 및 재정행정,2018,4320.53
153,아시아,한국,정부의료체계 및 재정행정,2019,4693.3
154,아시아,일본,보건 당기 지출,1998,266758.75
155,아시아,일본,보건 당기 지출,1999,318245.5
156,아시아,일본,보건 당기 지출,2000,349487.69
157,아시아,일본,보건 당기 지출,2001,316703.48
158,아시아,일본,보건 당기 지출,2002,307532.74
159,아시아,일본,보건 당기 지출,2003,338369.38
160,아시아,일본,보건 당기 지출,2004,368715.54
161,아시아,일본,보건 당기 지출,2005,369996.7
162,아시아,일본,보건 당기 지출,2006,353722.6
163,아시아,일본,보건 당기 지출,2007,356285.76
164,아시아,일본,보건 당기 지출,2008,413082.02
165,아시아,일본,보건 당기 지출,2009,473874.68
166,아시아,일본,보건 당기 지출,2010,521944.29
167,아시아,일본,보건 당기 지출,2011,653695.69
168,아시아,일본,보건 당기 지출,2012,669371.04
169,아시아,일본,보건 당기 지출,2013,556359.31
170,아시아,일본,보건 당기 지출,2014,525373.35
171,아시아,일본,보건 당기 지출,2015,477832.57
172,아시아,일본,보건 당기 지출,2016,533352.0
173,아시아,일본,보건 당기 지출,2017,525425.29
174,아시아,일본,보건 당기 지출,2018,541400.27
175,아시아,일본,보건 당기 지출,2019,558986.4
176,아시아,일본,치료 및 재활 치료,1998,183456.45
177,아시아,일본,치료 및 재활 치료,1999,214500.77
178,아시아,일본,치료 및 재활 치료,2000,232514.47
179,아시아,일본,치료 및 재활 치료,2001,210190.87
180,아시아,일본,치료 및 재활 치료,2002,203117.13
181,아시아,일본,치료 및 재활 치료,2003,219487.51
182,아시아,일본,치료 및 재활 치료,2004,237765.31
183,아시아,일본,치료 및 재활 치료,2005,237012.41
184,아시아,일본,치료 및 재활 치료,2006,225240.13
185,아시아,일본,치료 및 재활 치료,2007,228691.67
186,아시아,일본,치료 및 재활 치료,2008,266639.07
187,아시아,일본,치료 및 재활 치료,2009,299620.94
188,아시아,일본,치료 및 재활 치료,2010,333882.09
189,아시아,일본,치료 및 재활 치료,2011,375761.43
190,아시아,일본,치료 및 재활 치료,2012,381909.54
191,아시아,일본,치료 및 재활 치료,2013,315588.7
192,아시아,일본,치료 및 재활 치료,2014,296092.57
193,아시아,일본,치료 및 재활 치료,2015,264970.37
194,아시아,일본,치료 및 재활 치료,2016,299216.2
195,아시아,일본,치료 및 재활 치료,2017,296903.66
196,아시아,일본,치료 및 재활 치료,2018,305765.7
197,아시아,일본,장기 치료,1998,17861.14
198,아시아,일본,장기 치료,1999,24918.03
199,아시아,일본,장기 치료,2000,28724.0
200,아시아,일본,장기 치료,2001,26697.69
201,아시아,일본,장기 치료,2002,26938.62
202,아시아,일본,장기 치료,2003,31242.36
203,아시아,일본,장기 치료,2004,35328.84
204,아시아,일본,장기 치료,2005,36149.73
205,아시아,일본,장기 치료,2006,33472.49
206,아시아,일본,장기 치료,2007,33538.04
207,아시아,일본,장기 치료,2008,37277.8
208,아시아,일본,장기 치료,2009,43807.64
209,아시아,일본,장기 치료,2010,47901.38
210,아시아,일본,장기 치료,2011,112677.85
211,아시아,일본,장기 치료,2012,118807.91
212,아시아,일본,장기 치료,2013,101280.58
213,아시아,일본,장기 치료,2014,97420.16
214,아시아,일본,장기 치료,2015,87269.25
215,아시아,일본,장기 치료,2016,99161.96
216,아시아,일본,장기 치료,2017,96568.73
217,아시아,일본,장기 치료,2018,101092.97
218,아시아,일본,보건 보조 서비스,1998,1591.8
219,아시아,일본,보건 보조 서비스,1999,1876.62
220,아시아,일본,보건 보조 서비스,2000,2320.44
221,아시아,일본,보건 보조 서비스,2001,2236.08
222,아시아,일본,보건 보조 서비스,2002,2428.05
223,아시아,일본,보건 보조 서비스,2003,2627.0
224,아시아,일본,보건 보조 서비스,2004,2826.35
225,아시아,일본,보건 보조 서비스,2005,2727.05
226,아시아,일본,보건 보조 서비스,2006,2556.25
227,아시아,일본,보건 보조 서비스,2007,2568.28
228,아시아,일본,보건 보조 서비스,2008,2984.8
229,아시아,일본,보건 보조 서비스,2009,3556.01
230,아시아,일본,보건 보조 서비스,2010,3907.69
231,아시아,일본,보건 보조 서비스,2011,4169.63
232,아시아,일본,보건 보조 서비스,2012,4180.82
233,아시아,일본,보건 보조 서비스,2013,3459.56
234,아시아,일본,보건 보조 서비스,2014,3219.78
235,아시아,일본,보건 보조 서비스,2015,2881.08
236,아시아,일본,보건 보조 서비스,2016,3142.49
237,아시아,일본,보건 보조 서비스,2017,3043.18
238,아시아,일본,보건 보조 서비스,2018,3209.26
239,아시아,일본,의료품,1998,50403.25
240,아시아,일본,의료품,1999,60941.65
241,아시아,일본,의료품,2000,67954.8
242,아시아,일본,의료품,2001,62666.71
243,아시아,일본,의료품,2002,60549.86
244,아시아,일본,의료품,2003,69826.65
245,아시아,일본,의료품,2004,76349.74
246,아시아,일본,의료품,2005,77822.0
247,아시아,일본,의료품,2006,76835.58
248,아시아,일본,의료품,2007,75756.7
249,아시아,일본,의료품,2008,86948.6
250,아시아,일본,의료품,2009,104734.32
251,아시아,일본,의료품,2010,112564.92
252,아시아,일본,의료품,2011,132774.69
253,아시아,일본,의료품,2012,136169.04
254,아시아,일본,의료품,2013,113105.13
255,아시아,일본,의료품,2014,106916.34
256,아시아,일본,의료품,2015,101719.65
257,아시아,일본,의료품,2016,107720.22
258,아시아,일본,의료품,2017,104811.47
259,아시아,일본,의료품,2018,105688.06
260,아시아,일본,예방치료,1998,8291.15
261,아시아,일본,예방치료,1999,9567.08
262,아시아,일본,예방치료,2000,10225.49
263,아시아,일본,예방치료,2001,8131.55
264,아시아,일본,예방치료,2002,7833.73
265,아시아,일본,예방치료,2003,8174.34
266,아시아,일본,예방치료,2004,8858.23
267,아시아,일본,예방치료,2005,8729.3
268,아시아,일본,예방치료,2006,8333.81
269,아시아,일본,예방치료,2007,8455.83
270,아시아,일본,예방치료,2008,11747.82
271,아시아,일본,예방치료,2009,14272.85
272,아시아,일본,예방치료,2010,15407.51
273,아시아,일본,예방치료,2011,17137.88
274,아시아,일본,예방치료,2012,17285.46
275,아시아,일본,예방치료,2013,14018.63
276,아시아,일본,예방치료,2014,14756.75
277,아시아,일본,예방치료,2015,13151.88
278,아시아,일본,예방치료,2016,15228.95
279,아시아,일본,예방치료,2017,15033.24
280,아시아,일본,예방치료,2018,16249.38
281,아시아,일본,정부의료체계 및 재정행정,1998,5154.96
282,아시아,일본,정부의료체계 및 재정행정,1999,6441.34
283,아시아,일본,정부의료체계 및 재정행정,2000,7748.49
284,아시아,일본,정부의료체계 및 재정행정,2001,6780.59
285,아시아,일본,정부의료체계 및 재정행정,2002,6665.35
286,아시아,일본,정부의료체계 및 재정행정,2003,7011.53
287,아시아,일본,정부의료체계 및 재정행정,2004,7587.07
288,아시아,일본,정부의료체계 및 재정행정,2005,7556.22
289,아시아,일본,정부의료체계 및 재정행정,2006,7284.34
290,아시아,일본,정부의료체계 및 재정행정,2007,7275.23
291,아시아,일본,정부의료체계 및 재정행정,2008,7483.94
292,아시아,일본,정부의료체계 및 재정행정,2009,7882.92
293,아시아,일본,정부의료체계 및 재정행정,2010,8280.72
294,아시아,일본,정부의료체계 및 재정행정,2011,11174.2
295,아시아,일본,정부의료체계 및 재정행정,2012,11018.26
296,아시아,일본,정부의료체계 및 재정행정,2013,8906.7
297,아시아,일본,정부의료체계 및 재정행정,2014,6967.74
298,아시아,일본,정부의료체계 및 재정행정,2015,7840.35
299,아시아,일본,정부의료체계 및 재정행정,2016,8882.18
300,아시아,일본,정부의료체계 및 재정행정,2017,9065.02
301,아시아,일본,정부의료체계 및 재정행정,2018,9394.89
302,북아메리카,캐나다,보건 당기 지출,1998,54316.22
303,북아메리카,캐나다,보건 당기 지출,1999,56342.95
304,북아메리카,캐나다,보건 당기 지출,2000,61228.19
305,북아메리카,캐나다,보건 당기 지출,2001,63686.45
306,북아메리카,캐나다,보건 당기 지출,2002,67338.22
307,북아메리카,캐나다,보건 당기 지출,2003,80760.0
308,북아메리카,캐나다,보건 당기 지출,2004,93153.85
309,북아메리카,캐나다,보건 당기 지출,2005,106152.89
310,북아메리카,캐나다,보건 당기 지출,2006,123726.55
311,북아메리카,캐나다,보건 당기 지출,2007,139261.68
312,북아메리카,캐나다,보건 당기 지출,2008,148778.5
313,북아메리카,캐나다,보건 당기 지출,2009,147721.05
314,북아메리카,캐나다,보건 당기 지출,2010,173007.77
315,북아메리카,캐나다,보건 당기 지출,2011,186375.76
316,북아메리카,캐나다,보건 당기 지출,2012,191973.0
317,북아메리카,캐나다,보건 당기 지출,2013,192166.99
318,북아메리카,캐나다,보건 당기 지출,2014,184187.39
319,북아메리카,캐나다,보건 당기 지출,2015,166904.69
320,북아메리카,캐나다,보건 당기 지출,2016,167875.19
321,북아메리카,캐나다,보건 당기 지출,2017,178420.77
322,북아메리카,캐나다,보건 당기 지출,2018,185467.69
323,북아메리카,캐나다,보건 당기 지출,2019,188409.77
324,북아메리카,캐나다,치료 및 재활 치료,1998,30879.73
325,북아메리카,캐나다,치료 및 재활 치료,1999,26926.85
326,북아메리카,캐나다,치료 및 재활 치료,2000,29057.05
327,북아메리카,캐나다,치료 및 재활 치료,2001,30140.65
328,북아메리카,캐나다,치료 및 재활 치료,2002,31868.79
329,북아메리카,캐나다,치료 및 재활 치료,2003,37782.14
330,북아메리카,캐나다,치료 및 재활 치료,2004,43186.92
331,북아메리카,캐나다,치료 및 재활 치료,2005,49321.49
332,북아메리카,캐나다,치료 및 재활 치료,2006,60680.53
333,북아메리카,캐나다,치료 및 재활 치료,2007,68510.28
334,북아메리카,캐나다,치료 및 재활 치료,2008,73815.89
335,북아메리카,캐나다,치료 및 재활 치료,2009,73570.18
336,북아메리카,캐나다,치료 및 재활 치료,2010,85804.85
337,북아메리카,캐나다,치료 및 재활 치료,2011,92044.44
338,북아메리카,캐나다,치료 및 재활 치료,2012,94343.0
339,북아메리카,캐나다,치료 및 재활 치료,2013,94598.06
340,북아메리카,캐나다,치료 및 재활 치료,2014,90753.15
341,북아메리카,캐나다,치료 및 재활 치료,2015,81860.16
342,북아메리카,캐나다,치료 및 재활 치료,2016,81563.91
343,북아메리카,캐나다,치료 및 재활 치료,2017,86410.77
344,북아메리카,캐나다,치료 및 재활 치료,2018,90050.0
345,북아메리카,캐나다,치료 및 재활 치료,2019,90425.56
346,북아메리카,캐나다,장기 치료,1998,7494.59
347,북아메리카,캐나다,장기 치료,1999,9166.44
348,북아메리카,캐나다,장기 치료,2000,9781.88
349,북아메리카,캐나다,장기 치료,2001,9911.61
350,북아메리카,캐나다,장기 치료,2002,10348.41
351,북아메리카,캐나다,장기 치료,2003,12117.86
352,북아메리카,캐나다,장기 치료,2004,14342.31
353,북아메리카,캐나다,장기 치료,2005,16019.01
354,북아메리카,캐나다,장기 치료,2006,20772.57
355,북아메리카,캐나다,장기 치료,2007,23286.92
356,북아메리카,캐나다,장기 치료,2008,24895.33
357,북아메리카,캐나다,장기 치료,2009,24705.26
358,북아메리카,캐나다,장기 치료,2010,28757.28
359,북아메리카,캐나다,장기 치료,2011,31293.94
360,북아메리카,캐나다,장기 치료,2012,34339.0
361,북아메리카,캐나다,장기 치료,2013,35278.64
362,북아메리카,캐나다,장기 치료,2014,34232.43
363,북아메리카,캐나다,장기 치료,2015,30850.78
364,북아메리카,캐나다,장기 치료,2016,30627.07
365,북아메리카,캐나다,장기 치료,2017,32610.0
366,북아메리카,캐나다,장기 치료,2018,34087.69
367,북아메리카,캐나다,장기 치료,2019,34823.31
368,북아메리카,캐나다,보건 보조 서비스,1998,665.54
369,북아메리카,캐나다,보건 보조 서비스,1999,3820.13
370,북아메리카,캐나다,보건 보조 서비스,2000,4100.67
371,북아메리카,캐나다,보건 보조 서비스,2001,3954.19
372,북아메리카,캐나다,보건 보조 서비스,2002,4114.65
373,북아메리카,캐나다,보건 보조 서비스,2003,5025.71
374,북아메리카,캐나다,보건 보조 서비스,2004,5744.62
375,북아메리카,캐나다,보건 보조 서비스,2005,6696.69
376,북아메리카,캐나다,보건 보조 서비스,2006,3842.48
377,북아메리카,캐나다,보건 보조 서비스,2007,4357.94
378,북아메리카,캐나다,보건 보조 서비스,2008,4783.18
379,북아메리카,캐나다,보건 보조 서비스,2009,4930.7
380,북아메리카,캐나다,보건 보조 서비스,2010,5863.11
381,북아메리카,캐나다,보건 보조 서비스,2011,6817.17
382,북아메리카,캐나다,보건 보조 서비스,2012,6999.0
383,북아메리카,캐나다,보건 보조 서비스,2013,6949.51
384,북아메리카,캐나다,보건 보조 서비스,2014,6720.72
385,북아메리카,캐나다,보건 보조 서비스,2015,5753.91
386,북아메리카,캐나다,보건 보조 서비스,2016,5787.22
387,북아메리카,캐나다,보건 보조 서비스,2017,6243.85
388,북아메리카,캐나다,보건 보조 서비스,2018,6284.62
389,북아메리카,캐나다,보건 보조 서비스,2019,6536.84
390,북아메리카,캐나다,의료품,1998,10226.35
391,북아메리카,캐나다,의료품,1999,10853.02
392,북아메리카,캐나다,의료품,2000,12060.4
393,북아메리카,캐나다,의료품,2001,12736.13
394,북아메리카,캐나다,의료품,2002,13712.1
395,북아메리카,캐나다,의료품,2003,16582.14
396,북아메리카,캐나다,의료품,2004,19353.08
397,북아메리카,캐나다,의료품,2005,22038.84
398,북아메리카,캐나다,의료품,2006,25552.21
399,북아메리카,캐나다,의료품,2007,28490.65
400,북아메리카,캐나다,의료품,2008,30110.28
401,북아메리카,캐나다,의료품,2009,29807.02
402,북아메리카,캐나다,의료품,2010,35846.6
403,북아메리카,캐나다,의료품,2011,37963.64
404,북아메리카,캐나다,의료품,2012,38096.0
405,북아메리카,캐나다,의료품,2013,37080.58
406,북아메리카,캐나다,의료품,2014,35084.68
407,북아메리카,캐나다,의료품,2015,32103.91
408,북아메리카,캐나다,의료품,2016,32672.93
409,북아메리카,캐나다,의료품,2017,34564.62
410,북아메리카,캐나다,의료품,2018,35237.69
411,북아메리카,캐나다,의료품,2019,35736.84
412,북아메리카,캐나다,예방치료,1998,2975.68
413,북아메리카,캐나다,예방치료,1999,3327.52
414,북아메리카,캐나다,예방치료,2000,3660.4
415,북아메리카,캐나다,예방치료,2001,4041.29
416,북아메리카,캐나다,예방치료,2002,4170.06
417,북아메리카,캐나다,예방치료,2003,5445.71
418,북아메리카,캐나다,예방치료,2004,6039.23
419,북아메리카,캐나다,예방치료,2005,7237.19
420,북아메리카,캐나다,예방치료,2006,7733.63
421,북아메리카,캐나다,예방치료,2007,8738.32
422,북아메리카,캐나다,예방치료,2008,9158.88
423,북아메리카,캐나다,예방치료,2009,8966.67
424,북아메리카,캐나다,예방치료,2010,10136.89
425,북아메리카,캐나다,예방치료,2011,10930.3
426,북아메리카,캐나다,예방치료,2012,11061.0
427,북아메리카,캐나다,예방치료,2013,11111.65
428,북아메리카,캐나다,예방치료,2014,10906.31
429,북아메리카,캐나다,예방치료,2015,9688.28
430,북아메리카,캐나다,예방치료,2016,9708.27
431,북아메리카,캐나다,예방치료,2017,10275.38
432,북아메리카,캐나다,예방치료,2018,10966.92
433,북아메리카,캐나다,예방치료,2019,11703.76
434,북아메리카,캐나다,정부의료체계 및 재정행정,1998,1658.78
435,북아메리카,캐나다,정부의료체계 및 재정행정,1999,1852.35
436,북아메리카,캐나다,정부의료체계 및 재정행정,2000,2081.88
437,북아메리카,캐나다,정부의료체계 및 재정행정,2001,2407.1
438,북아메리카,캐나다,정부의료체계 및 재정행정,2002,2684.71
439,북아메리카,캐나다,정부의료체계 및 재정행정,2003,3360.71
440,북아메리카,캐나다,정부의료체계 및 재정행정,2004,4102.31
441,북아메리카,캐나다,정부의료체계 및 재정행정,2005,4366.94
442,북아메리카,캐나다,정부의료체계 및 재정행정,2006,4551.33
443,북아메리카,캐나다,정부의료체계 및 재정행정,2007,5190.65
444,북아메리카,캐나다,정부의료체계 및 재정행정,2008,5288.79
445,북아메리카,캐나다,정부의료체계 및 재정행정,2009,4929.82
446,북아메리카,캐나다,정부의료체계 및 재정행정,2010,5624.27
447,북아메리카,캐나다,정부의료체계 및 재정행정,2011,6119.19
448,북아메리카,캐나다,정부의료체계 및 재정행정,2012,6066.0
449,북아메리카,캐나다,정부의료체계 및 재정행정,2013,6054.37
450,북아메리카,캐나다,정부의료체계 및 재정행정,2014,5579.28
451,북아메리카,캐나다,정부의료체계 및 재정행정,2015,4448.44
452,북아메리카,캐나다,정부의료체계 및 재정행정,2016,4861.65
453,북아메리카,캐나다,정부의료체계 및 재정행정,2017,5365.38
454,북아메리카,캐나다,정부의료체계 및 재정행정,2018,5640.77
455,북아메리카,캐나다,정부의료체계 및 재정행정,2019,5714.29
456,유럽,오스트리아,보건 당기 지출,1998,1451.21
457,유럽,오스트리아,보건 당기 지출,1999,2716.62
458,유럽,오스트리아,보건 당기 지출,2000,2433.17
459,유럽,오스트리아,보건 당기 지출,2001,2456.85
460,유럽,오스트리아,보건 당기 지출,2002,2696.33
461,유럽,오스트리아,보건 당기 지출,2003,3359.03
462,유럽,오스트리아,보건 당기 지출,2004,3928.38
463,유럽,오스트리아,보건 당기 지출,2005,4076.67
464,유럽,오스트리아,보건 당기 지출,2006,4290.25
465,유럽,오스트리아,보건 당기 지출,2007,4975.92
466,유럽,오스트리아,보건 당기 지출,2008,5601.96
467,유럽,오스트리아,보건 당기 지출,2009,5495.34
468,유럽,오스트리아,보건 당기 지출,2010,5381.49
469,유럽,오스트리아,보건 당기 지출,2011,5790.32
470,유럽,오스트리아,보건 당기 지출,2012,5613.13
471,유럽,오스트리아,보건 당기 지출,2013,5928.29
472,유럽,오스트리아,보건 당기 지출,2014,6157.04
473,유럽,오스트리아,보건 당기 지출,2015,5303.42
474,유럽,오스트리아,보건 당기 지출,2016,5500.89
475,유럽,오스트리아,보건 당기 지출,2017,5811.36
476,유럽,오스트리아,보건 당기 지출,2018,6291.14
477,유럽,오스트리아,보건 당기 지출,2019,6219.34
478,유럽,오스트리아,치료 및 재활 치료,1998,901.62
479,유럽,오스트리아,치료 및 재활 치료,1999,1661.32
480,유럽,오스트리아,치료 및 재활 치료,2000,1489.23
481,유럽,오스트리아,치료 및 재활 치료,2001,1508.89
482,유럽,오스트리아,치료 및 재활 치료,2002,1640.13
483,유럽,오스트리아,치료 및 재활 치료,2003,2031.71
484,유럽,오스트리아,치료 및 재활 치료,2004,2321.37
485,유럽,오스트리아,치료 및 재활 치료,2005,2438.33
486,유럽,오스트리아,치료 및 재활 치료,2006,2558.49
487,유럽,오스트리아,치료 및 재활 치료,2007,2956.07
488,유럽,오스트리아,치료 및 재활 치료,2008,3315.29
489,유럽,오스트리아,치료 및 재활 치료,2009,3260.26
490,유럽,오스트리아,치료 및 재활 치료,2010,3193.95
491,유럽,오스트리아,치료 및 재활 치료,2011,3430.91
492,유럽,오스트리아,치료 및 재활 치료,2012,3336.96
493,유럽,오스트리아,치료 및 재활 치료,2013,3501.78
494,유럽,오스트리아,치료 및 재활 치료,2014,3629.23
495,유럽,오스트리아,치료 및 재활 치료,2015,3111.14
496,유럽,오스트리아,치료 및 재활 치료,2016,3243.24
497,유럽,오스트리아,치료 및 재활 치료,2017,3431.06
498,유럽,오스트리아,치료 및 재활 치료,2018,3730.85
499,유럽,오스트리아,치료 및 재활 치료,2019,3702.85
500,유럽,오스트리아,장기 치료,1998,190.39
501,유럽,오스트리아,장기 치료,1999,358.74
502,유럽,오스트리아,장기 치료,2000,320.3
503,유럽,오스트리아,장기 치료,2001,319.95
504,유럽,오스트리아,장기 치료,2002,352.03
505,유럽,오스트리아,장기 치료,2003,436.27
506,유럽,오스트리아,장기 치료,2004,504.84
507,유럽,오스트리아,장기 치료,2005,528.17
508,유럽,오스트리아,장기 치료,2006,566.05
509,유럽,오스트리아,장기 치료,2007,647.79
510,유럽,오스트리아,장기 치료,2008,753.53
511,유럽,오스트리아,장기 치료,2009,789.37
512,유럽,오스트리아,장기 치료,2010,787.54
513,유럽,오스트리아,장기 치료,2011,848.04
514,유럽,오스트리아,장기 치료,2012,822.45
515,유럽,오스트리아,장기 치료,2013,887.19
516,유럽,오스트리아,장기 치료,2014,911.76
