국가별,항목,데이터값,연도,국가영문
스페인,1인당 보건지출(PPP)(US$),1471.30725098,2000,Spain
스페인,외부보건비(경상보건비 대비%),0.0,2000,Spain
스웨덴,경상(GDP 대비%),7.32689953,2000,Sweden
스웨덴,공공(경상보건비 대비%),84.47544098,2000,Sweden
스웨덴,본인부담(경상보건비 대비%),14.46247673,2000,Sweden
스웨덴,1인당 보건지출(US$),2173.19384766,2000,Sweden
스웨덴,1인당 보건지출(PPP)(US$),2173.01855469,2000,Sweden
스웨덴,외부보건비(경상보건비 대비%),0.0,2000,Sweden
영국,경상(GDP 대비%),7.28434992,2000,United Kingdom
영국,공공(경상보건비 대비%),76.82836914,2000,United Kingdom
영국,본인부담(경상보건비 대비%),17.09322929,2000,United Kingdom
영국,1인당 보건지출(US$),2054.18041992,2000,United Kingdom
영국,1인당 보건지출(PPP)(US$),1927.10351563,2000,United Kingdom
영국,외부보건비(경상보건비 대비%),0.00774353,2000,United Kingdom
오스트레일리아,경상(GDP 대비%),7.61383343,2000,Australia
오스트레일리아,공공(경상보건비 대비%),71.83631897,2000,Australia
오스트레일리아,본인부담(경상보건비 대비%),20.99713898,2000,Australia
오스트레일리아,1인당 보건지출(US$),1638.81494141,2000,Australia
오스트레일리아,1인당 보건지출(PPP)(US$),2155.09350586,2000,Australia
오스트레일리아,외부보건비(경상보건비 대비%),0.0,2000,Australia
뉴질랜드,경상(GDP 대비%),7.4700222,2000,New Zealand
뉴질랜드,공공(경상보건비 대비%),74.48747253,2000,New Zealand
뉴질랜드,본인부담(경상보건비 대비%),15.36159515,2000,New Zealand
뉴질랜드,1인당 보건지출(US$),1053.89160156,2000,New Zealand
뉴질랜드,1인당 보건지출(PPP)(US$),1607.13500977,2000,New Zealand
뉴질랜드,외부보건비(경상보건비 대비%),0.0,2000,New Zealand
한국,경상(GDP 대비%),4.4276228,2001,South Korea
한국,공공(경상보건비 대비%),55.93570328,2001,South Korea
한국,본인부담(경상보건비 대비%),39.20520782,2001,South Korea
한국,1인당 보건지출(US$),508.28076172,2001,South Korea
한국,1인당 보건지출(PPP)(US$),865.80914307,2001,South Korea
한국,외부보건비(경상보건비 대비%),0.0,2001,South Korea
일본,경상(GDP 대비%),7.35919762,2001,Japan
일본,공공(경상보건비 대비%),80.96407318,2001,Japan
일본,본인부담(경상보건비 대비%),15.78570175,2001,Japan
일본,1인당 보건지출(US$),2479.81152344,2001,Japan
일본,1인당 보건지출(PPP)(US$),2012.81750488,2001,Japan
일본,외부보건비(경상보건비 대비%),0.0,2001,Japan
캐나다,경상(GDP 대비%),8.65530014,2001,Canada
캐나다,공공(경상보건비 대비%),72.80158234,2001,Canada
캐나다,본인부담(경상보건비 대비%),15.92599487,2001,Canada
캐나다,1인당 보건지출(US$),2063.92749023,2001,Canada
캐나다,1인당 보건지출(PPP)(US$),2617.79223633,2001,Canada
캐나다,외부보건비(경상보건비 대비%),0.0,2001,Canada
오스트리아,경상(GDP 대비%),9.26942921,2001,Austria
오스트리아,공공(경상보건비 대비%),73.64528656,2001,Austria
오스트리아,본인부담(경상보건비 대비%),18.46295738,2001,Austria
오스트리아,1인당 보건지출(US$),2282.51586914,2001,Austria
오스트리아,1인당 보건지출(PPP)(US$),2761.7890625,2001,Austria
오스트리아,외부보건비(경상보건비 대비%),0.0,2001,Austria
벨기에,경상(GDP 대비%),8.14988804,2001,Belgium
벨기에,공공(경상보건비 대비%),75.33213043,2001,Belgium
벨기에,본인부담(경상보건비 대비%),19.58826447,2001,Belgium
벨기에,1인당 보건지출(US$),1879.93481445,2001,Belgium
벨기에,1인당 보건지출(PPP)(US$),2352.49536133,2001,Belgium
벨기에,외부보건비(경상보건비 대비%),0.0,2001,Belgium
체코,경상(GDP 대비%),5.88764715,2001,Czech Republic
체코,공공(경상보건비 대비%),87.44812012,2001,Czech Republic
체코,본인부담(경상보건비 대비%),10.64326572,2001,Czech Republic
체코,1인당 보건지출(US$),388.54403687,2001,Czech Republic
체코,1인당 보건지출(PPP)(US$),1031.98852539,2001,Czech Republic
체코,외부보건비(경상보건비 대비%),0.0,2001,Czech Republic
덴마크,경상(GDP 대비%),8.44832611,2001,Denmark
덴마크,공공(경상보건비 대비%),83.40568542,2001,Denmark
덴마크,본인부담(경상보건비 대비%),15.11594772,2001,Denmark
덴마크,1인당 보건지출(US$),2602.64282227,2001,Denmark
덴마크,1인당 보건지출(PPP)(US$),2492.47583008,2001,Denmark
덴마크,외부보건비(경상보건비 대비%),0.0,2001,Denmark
에스토니아,경상(GDP 대비%),4.77708292,2001,Estonia
에스토니아,공공(경상보건비 대비%),78.25784302,2001,Estonia
에스토니아,본인부담(경상보건비 대비%),19.24532318,2001,Estonia
에스토니아,1인당 보건지출(US$),214.70414734,2001,Estonia
에스토니아,1인당 보건지출(PPP)(US$),491.65905762,2001,Estonia
에스토니아,외부보건비(경상보건비 대비%),0.0,2001,Estonia
핀란드,경상(GDP 대비%),7.25090408,2001,Finland
핀란드,공공(경상보건비 대비%),76.21708679,2001,Finland
핀란드,본인부담(경상보건비 대비%),21.2191143,2001,Finland
핀란드,1인당 보건지출(US$),1806.0501709,2001,Finland
핀란드,1인당 보건지출(PPP)(US$),2011.46582031,2001,Finland
핀란드,외부보건비(경상보건비 대비%),0.00953495,2001,Finland
프랑스,경상(GDP 대비%),9.70562744,2001,France
프랑스,공공(경상보건비 대비%),72.75836945,2001,France
프랑스,본인부담(경상보건비 대비%),7.33573961,2001,France
프랑스,1인당 보건지출(US$),2192.71582031,2001,France
프랑스,1인당 보건지출(PPP)(US$),2685.7746582,2001,France
프랑스,외부보건비(경상보건비 대비%),0.0,2001,France
독일,경상(GDP 대비%),9.92046165,2001,Germany
독일,공공(경상보건비 대비%),78.17618561,2001,Germany
독일,본인부담(경상보건비 대비%),12.28204536,2001,Germany
독일,1인당 보건지출(US$),2346.61499023,2001,Germany
독일,1인당 보건지출(PPP)(US$),2818.55883789,2001,Germany
독일,외부보건비(경상보건비 대비%),0.0,2001,Germany
그리스,경상(GDP 대비%),7.9878397,2001,Greece
그리스,공공(경상보건비 대비%),63.20637894,2001,Greece
그리스,본인부담(경상보건비 대비%),34.7783165,2001,Greece
그리스,1인당 보건지출(US$),1004.81542969,2001,Greece
그리스,1인당 보건지출(PPP)(US$),1678.57568359,2001,Greece
그리스,외부보건비(경상보건비 대비%),0.0,2001,Greece
헝가리,경상(GDP 대비%),6.82614756,2001,Hungary
헝가리,공공(경상보건비 대비%),66.90215302,2001,Hungary
헝가리,본인부담(경상보건비 대비%),28.86576271,2001,Hungary
헝가리,1인당 보건지출(US$),359.69747925,2001,Hungary
헝가리,1인당 보건지출(PPP)(US$),900.85308838,2001,Hungary
헝가리,외부보건비(경상보건비 대비%),0.0,2001,Hungary
아이슬란드,경상(GDP 대비%),8.81703854,2001,Iceland
아이슬란드,공공(경상보건비 대비%),80.52631378,2001,Iceland
아이슬란드,본인부담(경상보건비 대비%),19.47368622,2001,Iceland
아이슬란드,1인당 보건지출(US$),2557.26953125,2001,Iceland
아이슬란드,1인당 보건지출(PPP)(US$),2822.03808594,2001,Iceland
아이슬란드,외부보건비(경상보건비 대비%),0.0,2001,Iceland
아일랜드,경상(GDP 대비%),6.39933586,2001,Ireland
아일랜드,공공(경상보건비 대비%),78.43912506,2001,Ireland
아일랜드,본인부담(경상보건비 대비%),10.64706802,2001,Ireland
아일랜드,1인당 보건지출(US$),1823.73474121,2001,Ireland
아일랜드,1인당 보건지출(PPP)(US$),2100.93530273,2001,Ireland
아일랜드,외부보건비(경상보건비 대비%),0.0,2001,Ireland
이탈리아,경상(GDP 대비%),7.73760843,2001,Italy
이탈리아,공공(경상보건비 대비%),74.62194061,2001,Italy
이탈리아,본인부담(경상보건비 대비%),24.47650909,2001,Italy
이탈리아,1인당 보건지출(US$),1586.65710449,2001,Italy
이탈리아,1인당 보건지출(PPP)(US$),2170.55786133,2001,Italy
이탈리아,외부보건비(경상보건비 대비%),0.0,2001,Italy
라트비아,경상(GDP 대비%),5.78918362,2001,Latvia
라트비아,공공(경상보건비 대비%),48.73086166,2001,Latvia
라트비아,본인부담(경상보건비 대비%),48.85079193,2001,Latvia
라트비아,1인당 보건지출(US$),205.02047729,2001,Latvia
라트비아,1인당 보건지출(PPP)(US$),518.50115967,2001,Latvia
라트비아,외부보건비(경상보건비 대비%),0.0,2001,Latvia
룩셈부르크,경상(GDP 대비%),6.410923,2001,Luxembourg
룩셈부르크,공공(경상보건비 대비%),84.04717255,2001,Luxembourg
룩셈부르크,본인부담(경상보건비 대비%),13.6576767,2001,Luxembourg
룩셈부르크,1인당 보건지출(US$),3109.20141602,2001,Luxembourg
룩셈부르크,1인당 보건지출(PPP)(US$),3603.98339844,2001,Luxembourg
룩셈부르크,외부보건비(경상보건비 대비%),0.0,2001,Luxembourg
네덜란드,경상(GDP 대비%),8.05945873,2001,Netherlands
네덜란드,공공(경상보건비 대비%),69.62947845,2001,Netherlands
네덜란드,본인부담(경상보건비 대비%),10.46682262,2001,Netherlands
네덜란드,1인당 보건지출(US$),2175.73046875,2001,Netherlands
네덜란드,1인당 보건지출(PPP)(US$),2685.15112305,2001,Netherlands
네덜란드,외부보건비(경상보건비 대비%),0.0,2001,Netherlands
노르웨이,경상(GDP 대비%),8.02202415,2001,Norway
노르웨이,공공(경상보건비 대비%),82.80008698,2001,Norway
노르웨이,본인부담(경상보건비 대비%),16.9568634,2001,Norway
노르웨이,1인당 보건지출(US$),3099.00341797,2001,Norway
노르웨이,1인당 보건지출(PPP)(US$),3037.69995117,2001,Norway
노르웨이,외부보건비(경상보건비 대비%),0.0,2001,Norway
포르투갈,경상(GDP 대비%),8.40724277,2001,Portugal
포르투갈,공공(경상보건비 대비%),70.79106903,2001,Portugal
포르투갈,본인부담(경상보건비 대비%),24.4539299,2001,Portugal
포르투갈,1인당 보건지출(US$),989.62115479,2001,Portugal
포르투갈,1인당 보건지출(PPP)(US$),1647.28527832,2001,Portugal
포르투갈,외부보건비(경상보건비 대비%),0.02277705,2001,Portugal
슬로바키아,경상(GDP 대비%),5.3315053,2001,Slovakia
슬로바키아,공공(경상보건비 대비%),88.35826111,2001,Slovakia
슬로바키아,본인부담(경상보건비 대비%),10.90437698,2001,Slovakia
슬로바키아,1인당 보건지출(US$),212.22207642,2001,Slovakia
슬로바키아,1인당 보건지출(PPP)(US$),660.6517334,2001,Slovakia
슬로바키아,외부보건비(경상보건비 대비%),0.0,2001,Slovakia
슬로베니아,경상(GDP 대비%),7.87602425,2001,Slovenia
슬로베니아,공공(경상보건비 대비%),70.56112671,2001,Slovenia
슬로베니아,본인부담(경상보건비 대비%),12.90347862,2001,Slovenia
슬로베니아,1인당 보건지출(US$),826.22576904,2001,Slovenia
슬로베니아,1인당 보건지출(PPP)(US$),1494.46362305,2001,Slovenia
슬로베니아,외부보건비(경상보건비 대비%),0.0,2001,Slovenia
스페인,경상(GDP 대비%),6.76895761,2001,Spain
스페인,공공(경상보건비 대비%),71.31188965,2001,Spain
스페인,본인부담(경상보건비 대비%),24.85228539,2001,Spain
스페인,1인당 보건지출(US$),1045.05065918,2001,Spain
스페인,1인당 보건지출(PPP)(US$),1561.13378906,2001,Spain
스페인,외부보건비(경상보건비 대비%),0.0,2001,Spain
스웨덴,경상(GDP 대비%),7.89881182,2001,Sweden
스웨덴,공공(경상보건비 대비%),82.16873169,2001,Sweden
스웨덴,본인부담(경상보건비 대비%),16.86445999,2001,Sweden
스웨덴,1인당 보건지출(US$),2155.44018555,2001,Sweden
스웨덴,1인당 보건지출(PPP)(US$),2368.41894531,2001,Sweden
스웨덴,외부보건비(경상보건비 대비%),0.0,2001,Sweden
영국,경상(GDP 대비%),7.6549964,2001,United Kingdom
영국,공공(경상보건비 대비%),76.58959198,2001,United Kingdom
영국,본인부담(경상보건비 대비%),17.2764492,2001,United Kingdom
영국,1인당 보건지출(US$),2128.29443359,2001,United Kingdom
영국,1인당 보건지출(PPP)(US$),2129.1003418,2001,United Kingdom
영국,외부보건비(경상보건비 대비%),0.00768768,2001,United Kingdom
오스트레일리아,경상(GDP 대비%),7.69622898,2001,Australia
오스트레일리아,공공(경상보건비 대비%),71.10847473,2001,Australia
오스트레일리아,본인부담(경상보건비 대비%),20.43909645,2001,Australia
오스트레일리아,1인당 보건지출(US$),1564.16650391,2001,Australia
오스트레일리아,1인당 보건지출(PPP)(US$),2277.91894531,2001,Australia
오스트레일리아,외부보건비(경상보건비 대비%),0.0,2001,Australia
뉴질랜드,경상(GDP 대비%),7.5789361,2001,New Zealand
뉴질랜드,공공(경상보건비 대비%),73.18119049,2001,New Zealand
뉴질랜드,본인부담(경상보건비 대비%),16.98616219,2001,New Zealand
뉴질랜드,1인당 보건지출(US$),1049.37609863,2001,New Zealand
뉴질랜드,1인당 보건지출(PPP)(US$),1693.32580566,2001,New Zealand
뉴질랜드,외부보건비(경상보건비 대비%),0.0,2001,New Zealand
한국,경상(GDP 대비%),4.16491032,2002,South Korea
한국,공공(경상보건비 대비%),56.50645447,2002,South Korea
한국,본인부담(경상보건비 대비%),38.63632584,2002,South Korea
한국,1인당 보건지출(US$),544.26074219,2002,South Korea
한국,1인당 보건지출(PPP)(US$),884.57165527,2002,South Korea
한국,외부보건비(경상보건비 대비%),0.0,2002,South Korea
일본,경상(GDP 대비%),7.47336435,2002,Japan
일본,공공(경상보건비 대비%),80.75297546,2002,Japan
일본,본인부담(경상보건비 대비%),15.978508,2002,Japan
일본,1인당 보건지출(US$),2404.64648438,2002,Japan
일본,1인당 보건지출(PPP)(US$),2097.13427734,2002,Japan
일본,외부보건비(경상보건비 대비%),0.0,2002,Japan
캐나다,경상(GDP 대비%),8.88823891,2002,Canada
캐나다,공공(경상보건비 대비%),72.43798065,2002,Canada
캐나다,본인부담(경상보건비 대비%),15.9083395,2002,Canada
캐나다,1인당 보건지출(US$),2159.31591797,2002,Canada
캐나다,1인당 보건지출(PPP)(US$),2758.29760742,2002,Canada
캐나다,외부보건비(경상보건비 대비%),0.0,2002,Canada
오스트리아,경상(GDP 대비%),9.3947649,2002,Austria
오스트리아,공공(경상보건비 대비%),73.43814087,2002,Austria
오스트리아,본인부담(경상보건비 대비%),18.61328697,2002,Austria
오스트리아,1인당 보건지출(US$),2497.8659668,2002,Austria
오스트리아,1인당 보건지출(PPP)(US$),2935.81860352,2002,Austria
오스트리아,외부보건비(경상보건비 대비%),0.0,2002,Austria
벨기에,경상(GDP 대비%),8.3182106,2002,Belgium
벨기에,공공(경상보건비 대비%),73.72327423,2002,Belgium
벨기에,본인부담(경상보건비 대비%),20.87109566,2002,Belgium
벨기에,1인당 보건지출(US$),2084.7199707,2002,Belgium
벨기에,1인당 보건지출(PPP)(US$),2524.57861328,2002,Belgium
벨기에,외부보건비(경상보건비 대비%),0.0,2002,Belgium
체코,경상(GDP 대비%),6.19887209,2002,Czech Republic
체코,공공(경상보건비 대비%),88.07415771,2002,Czech Republic
체코,본인부담(경상보건비 대비%),10.00170326,2002,Czech Republic
체코,1인당 보건지출(US$),497.74203491,2002,Czech Republic
체코,1인당 보건지출(PPP)(US$),1127.0559082,2002,Czech Republic
체코,외부보건비(경상보건비 대비%),0.0,2002,Czech Republic
덴마크,경상(GDP 대비%),8.70251179,2002,Denmark
덴마크,공공(경상보건비 대비%),83.8057785,2002,Denmark
덴마크,본인부담(경상보건비 대비%),14.72838497,2002,Denmark
덴마크,1인당 보건지출(US$),2895.80737305,2002,Denmark
덴마크,1인당 보건지출(PPP)(US$),2670.24316406,2002,Denmark
덴마크,외부보건비(경상보건비 대비%),0.0,2002,Denmark
에스토니아,경상(GDP 대비%),4.70043564,2002,Estonia
에스토니아,공공(경상보건비 대비%),76.21243286,2002,Estonia
에스토니아,본인부담(경상보건비 대비%),20.55887222,2002,Estonia
에스토니아,1인당 보건지출(US$),250.48020935,2002,Estonia
에스토니아,1인당 보건지출(PPP)(US$),546.90863037,2002,Estonia
에스토니아,외부보건비(경상보건비 대비%),0.0,2002,Estonia
핀란드,경상(GDP 대비%),7.62769508,2002,Finland
핀란드,공공(경상보건비 대비%),76.82077026,2002,Finland
핀란드,본인부담(경상보건비 대비%),20.74457169,2002,Finland
핀란드,1인당 보건지출(US$),2054.26293945,2002,Finland
핀란드,1인당 보건지출(PPP)(US$),2176.56787109,2002,Finland
핀란드,외부보건비(경상보건비 대비%),0.00950312,2002,Finland
프랑스,경상(GDP 대비%),10.02218628,2002,France
프랑스,공공(경상보건비 대비%),73.0019989,2002,France
프랑스,본인부담(경상보건비 대비%),7.13796902,2002,France
프랑스,1인당 보건지출(US$),2449.75830078,2002,France
프랑스,1인당 보건지출(PPP)(US$),2876.4597168,2002,France
프랑스,외부보건비(경상보건비 대비%),0.0,2002,France
독일,경상(GDP 대비%),10.18361187,2002,Germany
독일,공공(경상보건비 대비%),77.82423401,2002,Germany
독일,본인부담(경상보건비 대비%),12.57549858,2002,Germany
독일,1인당 보건지출(US$),2567.49145508,2002,Germany
독일,1인당 보건지출(PPP)(US$),2973.17578125,2002,Germany
독일,외부보건비(경상보건비 대비%),0.0,2002,Germany
그리스,경상(GDP 대비%),8.23378086,2002,Greece
그리스,공공(경상보건비 대비%),60.45768738,2002,Greece
그리스,본인부담(경상보건비 대비%),37.3801918,2002,Greece
그리스,1인당 보건지출(US$),1168.82409668,2002,Greece
그리스,1인당 보건지출(PPP)(US$),1864.49755859,2002,Greece
그리스,외부보건비(경상보건비 대비%),0.0,2002,Greece
헝가리,경상(GDP 대비%),7.12101698,2002,Hungary
헝가리,공공(경상보건비 대비%),69.24011993,2002,Hungary
헝가리,본인부담(경상보건비 대비%),27.56357765,2002,Hungary
헝가리,1인당 보건지출(US$),473.12783813,2002,Hungary
헝가리,1인당 보건지출(PPP)(US$),1032.77502441,2002,Hungary
헝가리,외부보건비(경상보건비 대비%),0.0,2002,Hungary
아이슬란드,경상(GDP 대비%),9.48969269,2002,Iceland
아이슬란드,공공(경상보건비 대비%),81.43344116,2002,Iceland
아이슬란드,본인부담(경상보건비 대비%),18.56656265,2002,Iceland
아이슬란드,1인당 보건지출(US$),3091.28833008,2002,Iceland
아이슬란드,1인당 보건지출(PPP)(US$),3110.16259766,2002,Iceland
아이슬란드,외부보건비(경상보건비 대비%),0.0,2002,Iceland
아일랜드,경상(GDP 대비%),6.67451334,2002,Ireland
아일랜드,공공(경상보건비 대비%),78.99171448,2002,Ireland
