"기업규모별(1)","기후기술분류별(1)","기후기술분류별(2)",시점,데이터
"전체","감축 및 적응 융복합","소계",2018,3731
"전체","감축 및 적응 융복합","감축 및 적응 융복합",2012,3949
"전체","감축 및 적응 융복합","감축 및 적응 융복합",2013,4247
"전체","감축 및 적응 융복합","감축 및 적응 융복합",2014,4255
"전체","감축 및 적응 융복합","감축 및 적응 융복합",2015,4038
"전체","감축 및 적응 융복합","감축 및 적응 융복합",2016,4098
"전체","감축 및 적응 융복합","감축 및 적응 융복합",2017,3996
"전체","감축 및 적응 융복합","감축 및 적응 융복합",2018,3731
"대기업","합계","소계",2012,67089
"대기업","합계","소계",2013,67971
"대기업","합계","소계",2014,70368
"대기업","합계","소계",2015,71664
"대기업","합계","소계",2016,72275
"대기업","합계","소계",2017,71298
"대기업","합계","소계",2018,72143
"대기업","감축","소계",2012,65880
"대기업","감축","소계",2013,66682
"대기업","감축","소계",2014,69105
"대기업","감축","소계",2015,70386
"대기업","감축","소계",2016,70968
"대기업","감축","소계",2017,69988
"대기업","감축","소계",2018,70860
"대기업","감축","비재생에너지",2012,1864
"대기업","감축","비재생에너지",2013,2011
"대기업","감축","비재생에너지",2014,1977
"대기업","감축","비재생에너지",2015,1891
"대기업","감축","비재생에너지",2016,1891
"대기업","감축","비재생에너지",2017,1854
"대기업","감축","비재생에너지",2018,1892
"대기업","감축","재생에너지",2012,16482
"대기업","감축","재생에너지",2013,15676
"대기업","감축","재생에너지",2014,16026
"대기업","감축","재생에너지",2015,18951
"대기업","감축","재생에너지",2016,19277
"대기업","감축","재생에너지",2017,18331
"대기업","감축","재생에너지",2018,19172
"대기업","감축","신에너지",2012,1789
"대기업","감축","신에너지",2013,1645
"대기업","감축","신에너지",2014,1658
"대기업","감축","신에너지",2015,1228
"대기업","감축","신에너지",2016,1553
"대기업","감축","신에너지",2017,1565
"대기업","감축","신에너지",2018,1588
"대기업","감축","에너지저장",2012,23579
"대기업","감축","에너지저장",2013,24547
"대기업","감축","에너지저장",2014,26230
"대기업","감축","에너지저장",2015,26043
"대기업","감축","에너지저장",2016,25607
"대기업","감축","에너지저장",2017,26165
"대기업","감축","에너지저장",2018,27338
"대기업","감축","송배전 및 에너지관리",2012,138
"대기업","감축","송배전 및 에너지관리",2013,141
"대기업","감축","송배전 및 에너지관리",2014,137
"대기업","감축","송배전 및 에너지관리",2015,137
"대기업","감축","송배전 및 에너지관리",2016,134
"대기업","감축","송배전 및 에너지관리",2017,137
"대기업","감축","송배전 및 에너지관리",2018,145
"대기업","감축","에너지수요",2012,22009
"대기업","감축","에너지수요",2013,22646
"대기업","감축","에너지수요",2014,23061
"대기업","감축","에너지수요",2015,22119
"대기업","감축","에너지수요",2016,22492
"대기업","감축","에너지수요",2017,21932
"대기업","감축","에너지수요",2018,20721
"대기업","감축","온실가스 고정",2012,19
"대기업","감축","온실가스 고정",2013,17
"대기업","감축","온실가스 고정",2014,17
"대기업","감축","온실가스 고정",2015,17
"대기업","감축","온실가스 고정",2016,13
"대기업","감축","온실가스 고정",2017,4
"대기업","감축","온실가스 고정",2018,4
"대기업","적응","소계",2012,72
"대기업","적응","소계",2013,71
"대기업","적응","소계",2014,71
"대기업","적응","소계",2015,69
"대기업","적응","소계",2016,98
"대기업","적응","소계",2017,101
"대기업","적응","소계",2018,72
"대기업","적응","농업축산",2012,8
"대기업","적응","농업축산",2013,2
"대기업","적응","농업축산",2014,2
"대기업","적응","농업축산",2015,1
"대기업","적응","농업축산",2016,-
"대기업","적응","농업축산",2017,-
"대기업","적응","농업축산",2018,-
"대기업","적응","물",2012,64
"대기업","적응","물",2013,69
"대기업","적응","물",2014,70
"대기업","적응","물",2015,68
"대기업","적응","물",2016,98
"대기업","적응","물",2017,101
"대기업","적응","물",2018,72
"대기업","감축 및 적응 융복합","소계",2012,1137
"대기업","감축 및 적응 융복합","소계",2013,1218
"대기업","감축 및 적응 융복합","소계",2014,1192
"대기업","감축 및 적응 융복합","소계",2015,1209
"대기업","감축 및 적응 융복합","소계",2016,1209
"대기업","감축 및 적응 융복합","소계",2017,1209
"대기업","감축 및 적응 융복합","소계",2018,1211
"대기업","감축 및 적응 융복합","감축 및 적응 융복합",2012,1137
"대기업","감축 및 적응 융복합","감축 및 적응 융복합",2013,1218
"대기업","감축 및 적응 융복합","감축 및 적응 융복합",2014,1192
"대기업","감축 및 적응 융복합","감축 및 적응 융복합",2015,1209
"대기업","감축 및 적응 융복합","감축 및 적응 융복합",2016,1209
"대기업","감축 및 적응 융복합","감축 및 적응 융복합",2017,1209
"대기업","감축 및 적응 융복합","감축 및 적응 융복합",2018,1211
"중견기업","합계","소계",2012,67094
"중견기업","합계","소계",2013,67559
"중견기업","합계","소계",2014,69639
"중견기업","합계","소계",2015,69114
"중견기업","합계","소계",2016,68485
"중견기업","합계","소계",2017,68196
"중견기업","합계","소계",2018,65296
"중견기업","감축","소계",2012,64529
"중견기업","감축","소계",2013,64822
"중견기업","감축","소계",2014,66978
"중견기업","감축","소계",2015,66603
"중견기업","감축","소계",2016,65984
"중견기업","감축","소계",2017,65794
"중견기업","감축","소계",2018,63152
"중견기업","감축","비재생에너지",2012,183
"중견기업","감축","비재생에너지",2013,173
"중견기업","감축","비재생에너지",2014,145
"중견기업","감축","비재생에너지",2015,157
"중견기업","감축","비재생에너지",2016,227
"중견기업","감축","비재생에너지",2017,233
"중견기업","감축","비재생에너지",2018,243
"중견기업","감축","재생에너지",2012,17003
"중견기업","감축","재생에너지",2013,16086
"중견기업","감축","재생에너지",2014,18692
"중견기업","감축","재생에너지",2015,19171
"중견기업","감축","재생에너지",2016,17280
"중견기업","감축","재생에너지",2017,17277
"중견기업","감축","재생에너지",2018,16328
"중견기업","감축","신에너지",2012,1123
"중견기업","감축","신에너지",2013,1281
"중견기업","감축","신에너지",2014,1302
"중견기업","감축","신에너지",2015,1314
"중견기업","감축","신에너지",2016,1305
"중견기업","감축","신에너지",2017,1284
"중견기업","감축","신에너지",2018,1248
"중견기업","감축","에너지저장",2012,3387
"중견기업","감축","에너지저장",2013,3521
"중견기업","감축","에너지저장",2014,3580
"중견기업","감축","에너지저장",2015,3447
"중견기업","감축","에너지저장",2016,3492
"중견기업","감축","에너지저장",2017,3528
"중견기업","감축","에너지저장",2018,3705
"중견기업","감축","송배전 및 에너지관리",2012,3160
"중견기업","감축","송배전 및 에너지관리",2013,3020
"중견기업","감축","송배전 및 에너지관리",2014,2902
"중견기업","감축","송배전 및 에너지관리",2015,2399
"중견기업","감축","송배전 및 에너지관리",2016,2465
"중견기업","감축","송배전 및 에너지관리",2017,2384
"중견기업","감축","송배전 및 에너지관리",2018,2607
"중견기업","감축","에너지수요",2012,39609
"중견기업","감축","에너지수요",2013,40663
"중견기업","감축","에너지수요",2014,40265
"중견기업","감축","에너지수요",2015,40016
"중견기업","감축","에너지수요",2016,41114
"중견기업","감축","에너지수요",2017,40999
"중견기업","감축","에너지수요",2018,38933
"중견기업","감축","온실가스 고정",2012,64
"중견기업","감축","온실가스 고정",2013,80
"중견기업","감축","온실가스 고정",2014,92
"중견기업","감축","온실가스 고정",2015,99
"중견기업","감축","온실가스 고정",2016,103
"중견기업","감축","온실가스 고정",2017,89
"중견기업","감축","온실가스 고정",2018,88
"중견기업","적응","소계",2012,449
"중견기업","적응","소계",2013,451
"중견기업","적응","소계",2014,436
"중견기업","적응","소계",2015,436
"중견기업","적응","소계",2016,477
"중견기업","적응","소계",2017,507
"중견기업","적응","소계",2018,442
"중견기업","적응","농업축산",2012,128
"중견기업","적응","농업축산",2013,127
"중견기업","적응","농업축산",2014,126
"중견기업","적응","농업축산",2015,128
"중견기업","적응","농업축산",2016,142
"중견기업","적응","농업축산",2017,144
"중견기업","적응","농업축산",2018,147
"중견기업","적응","물",2012,321
"중견기업","적응","물",2013,324
"중견기업","적응","물",2014,310
"중견기업","적응","물",2015,308
"중견기업","적응","물",2016,335
"중견기업","적응","물",2017,363
"중견기업","적응","물",2018,295
"중견기업","감축 및 적응 융복합","소계",2012,2116
"중견기업","감축 및 적응 융복합","소계",2013,2286
"중견기업","감축 및 적응 융복합","소계",2014,2225
"중견기업","감축 및 적응 융복합","소계",2015,2075
"중견기업","감축 및 적응 융복합","소계",2016,2024
"중견기업","감축 및 적응 융복합","소계",2017,1895
"중견기업","감축 및 적응 융복합","소계",2018,1702
"중견기업","감축 및 적응 융복합","감축 및 적응 융복합",2012,2116
"중견기업","감축 및 적응 융복합","감축 및 적응 융복합",2013,2286
"중견기업","감축 및 적응 융복합","감축 및 적응 융복합",2014,2225
"중견기업","감축 및 적응 융복합","감축 및 적응 융복합",2015,2075
"중견기업","감축 및 적응 융복합","감축 및 적응 융복합",2016,2024
"중견기업","감축 및 적응 융복합","감축 및 적응 융복합",2017,1895
"중견기업","감축 및 적응 융복합","감축 및 적응 융복합",2018,1702
"중소기업","합계","소계",2012,44504
"중소기업","합계","소계",2013,45675
"중소기업","합계","소계",2014,46154
"중소기업","합계","소계",2015,46712
"중소기업","합계","소계",2016,49897
"중소기업","합계","소계",2017,50922
"중소기업","합계","소계",2018,49825
"중소기업","감축","소계",2012,37281
"중소기업","감축","소계",2013,38412
"중소기업","감축","소계",2014,38812
"중소기업","감축","소계",2015,39400
"중소기업","감축","소계",2016,41742
"중소기업","감축","소계",2017,42542
"중소기업","감축","소계",2018,41811
"중소기업","감축","비재생에너지",2012,1316
"중소기업","감축","비재생에너지",2013,1354
"중소기업","감축","비재생에너지",2014,1224
"중소기업","감축","비재생에너지",2015,1327
"중소기업","감축","비재생에너지",2016,1467
"중소기업","감축","비재생에너지",2017,1504
"중소기업","감축","비재생에너지",2018,1449
"중소기업","감축","재생에너지",2012,13784
"중소기업","감축","재생에너지",2013,13999
"중소기업","감축","재생에너지",2014,14200
"중소기업","감축","재생에너지",2015,14186
"중소기업","감축","재생에너지",2016,15246
"중소기업","감축","재생에너지",2017,15697
"중소기업","감축","재생에너지",2018,15162
"중소기업","감축","신에너지",2012,991
"중소기업","감축","신에너지",2013,931
"중소기업","감축","신에너지",2014,940
"중소기업","감축","신에너지",2015,962
"중소기업","감축","신에너지",2016,1040
"중소기업","감축","신에너지",2017,1071
"중소기업","감축","신에너지",2018,1047
"중소기업","감축","에너지저장",2012,5126
"중소기업","감축","에너지저장",2013,5561
"중소기업","감축","에너지저장",2014,5632
"중소기업","감축","에너지저장",2015,5691
"중소기업","감축","에너지저장",2016,5983
"중소기업","감축","에너지저장",2017,6233
"중소기업","감축","에너지저장",2018,6485
"중소기업","감축","송배전 및 에너지관리",2012,1741
"중소기업","감축","송배전 및 에너지관리",2013,1838
"중소기업","감축","송배전 및 에너지관리",2014,1901
"중소기업","감축","송배전 및 에너지관리",2015,1833
"중소기업","감축","송배전 및 에너지관리",2016,2005
"중소기업","감축","송배전 및 에너지관리",2017,1889
"중소기업","감축","송배전 및 에너지관리",2018,1833
"중소기업","감축","에너지수요",2012,14108
"중소기업","감축","에너지수요",2013,14499
"중소기업","감축","에너지수요",2014,14682
"중소기업","감축","에너지수요",2015,15163
"중소기업","감축","에너지수요",2016,15725
"중소기업","감축","에너지수요",2017,15843
"중소기업","감축","에너지수요",2018,15499
"중소기업","감축","온실가스 고정",2012,216
"중소기업","감축","온실가스 고정",2013,229
"중소기업","감축","온실가스 고정",2014,232
"중소기업","감축","온실가스 고정",2015,239
"중소기업","감축","온실가스 고정",2016,275
"중소기업","감축","온실가스 고정",2017,305
"중소기업","감축","온실가스 고정",2018,336
"중소기업","적응","소계",2012,6619
"중소기업","적응","소계",2013,6615
"중소기업","적응","소계",2014,6603
"중소기업","적응","소계",2015,6652
"중소기업","적응","소계",2016,7376
"중소기업","적응","소계",2017,7579
"중소기업","적응","소계",2018,7287
"중소기업","적응","농업축산",2012,1140
"중소기업","적응","농업축산",2013,1288
"중소기업","적응","농업축산",2014,1218
"중소기업","적응","농업축산",2015,1248
"중소기업","적응","농업축산",2016,1298
"중소기업","적응","농업축산",2017,1414
"중소기업","적응","농업축산",2018,1392
"중소기업","적응","물",2012,5479
"중소기업","적응","물",2013,5327
"중소기업","적응","물",2014,5385
"중소기업","적응","물",2015,5404
"중소기업","적응","물",2016,6078
"중소기업","적응","물",2017,6165
"중소기업","적응","물",2018,5895
"중소기업","감축 및 적응 융복합","소계",2012,604
"중소기업","감축 및 적응 융복합","소계",2013,648
"중소기업","감축 및 적응 융복합","소계",2014,740
"중소기업","감축 및 적응 융복합","소계",2015,660
"중소기업","감축 및 적응 융복합","소계",2016,780
"중소기업","감축 및 적응 융복합","소계",2017,800
"중소기업","감축 및 적응 융복합","소계",2018,727
"중소기업","감축 및 적응 융복합","감축 및 적응 융복합",2012,604
"중소기업","감축 및 적응 융복합","감축 및 적응 융복합",2013,648
"중소기업","감축 및 적응 융복합","감축 및 적응 융복합",2014,740
"중소기업","감축 및 적응 융복합","감축 및 적응 융복합",2015,660
"중소기업","감축 및 적응 융복합","감축 및 적응 융복합",2016,780
"중소기업","감축 및 적응 융복합","감축 및 적응 융복합",2017,800
"중소기업","감축 및 적응 융복합","감축 및 적응 융복합",2018,727
"연구소 등 비영리기관","합계","소계",2012,6129
"연구소 등 비영리기관","합계","소계",2013,6310
"연구소 등 비영리기관","합계","소계",2014,6654
"연구소 등 비영리기관","합계","소계",2015,6920
"연구소 등 비영리기관","합계","소계",2016,7210
"연구소 등 비영리기관","합계","소계",2017,7199
"연구소 등 비영리기관","합계","소계",2018,7799
"연구소 등 비영리기관","감축","소계",2012,5895
"연구소 등 비영리기관","감축","소계",2013,6073
"연구소 등 비영리기관","감축","소계",2014,6412
"연구소 등 비영리기관","감축","소계",2015,6683
"연구소 등 비영리기관","감축","소계",2016,6975
"연구소 등 비영리기관","감축","소계",2017,6963
"연구소 등 비영리기관","감축","소계",2018,7556
"연구소 등 비영리기관","감축","비재생에너지",2012,370
"연구소 등 비영리기관","감축","비재생에너지",2013,391
"연구소 등 비영리기관","감축","비재생에너지",2014,410
"연구소 등 비영리기관","감축","비재생에너지",2015,431
"연구소 등 비영리기관","감축","비재생에너지",2016,475
"연구소 등 비영리기관","감축","비재생에너지",2017,488
"연구소 등 비영리기관","감축","비재생에너지",2018,484
"연구소 등 비영리기관","감축","재생에너지",2012,2713
"연구소 등 비영리기관","감축","재생에너지",2013,2806
"연구소 등 비영리기관","감축","재생에너지",2014,2991
"연구소 등 비영리기관","감축","재생에너지",2015,3167
"연구소 등 비영리기관","감축","재생에너지",2016,3288
"연구소 등 비영리기관","감축","재생에너지",2017,3557
"연구소 등 비영리기관","감축","재생에너지",2018,4047
"연구소 등 비영리기관","감축","신에너지",2012,38
"연구소 등 비영리기관","감축","신에너지",2013,43
"연구소 등 비영리기관","감축","신에너지",2014,53
"연구소 등 비영리기관","감축","신에너지",2015,62
"연구소 등 비영리기관","감축","신에너지",2016,79
"연구소 등 비영리기관","감축","신에너지",2017,73
"연구소 등 비영리기관","감축","신에너지",2018,85
"연구소 등 비영리기관","감축","에너지저장",2012,38
"연구소 등 비영리기관","감축","에너지저장",2013,41
"연구소 등 비영리기관","감축","에너지저장",2014,48
"연구소 등 비영리기관","감축","에너지저장",2015,62
"연구소 등 비영리기관","감축","에너지저장",2016,66
"연구소 등 비영리기관","감축","에너지저장",2017,75
"연구소 등 비영리기관","감축","에너지저장",2018,86
"연구소 등 비영리기관","감축","송배전 및 에너지관리",2012,358
"연구소 등 비영리기관","감축","송배전 및 에너지관리",2013,374
"연구소 등 비영리기관","감축","송배전 및 에너지관리",2014,400
"연구소 등 비영리기관","감축","송배전 및 에너지관리",2015,415
"연구소 등 비영리기관","감축","송배전 및 에너지관리",2016,431
"연구소 등 비영리기관","감축","송배전 및 에너지관리",2017,467
"연구소 등 비영리기관","감축","송배전 및 에너지관리",2018,480
"연구소 등 비영리기관","감축","에너지수요",2012,2366
"연구소 등 비영리기관","감축","에너지수요",2013,2406
"연구소 등 비영리기관","감축","에너지수요",2014,2496
"연구소 등 비영리기관","감축","에너지수요",2015,2533
"연구소 등 비영리기관","감축","에너지수요",2016,2622
"연구소 등 비영리기관","감축","에너지수요",2017,2286
"연구소 등 비영리기관","감축","에너지수요",2018,2354
"연구소 등 비영리기관","감축","온실가스 고정",2012,11
"연구소 등 비영리기관","감축","온실가스 고정",2013,12
"연구소 등 비영리기관","감축","온실가스 고정",2014,13
"연구소 등 비영리기관","감축","온실가스 고정",2015,14
"연구소 등 비영리기관","감축","온실가스 고정",2016,15
"연구소 등 비영리기관","감축","온실가스 고정",2017,16
"연구소 등 비영리기관","감축","온실가스 고정",2018,21
"연구소 등 비영리기관","적응","소계",2012,142
"연구소 등 비영리기관","적응","소계",2013,142
"연구소 등 비영리기관","적응","소계",2014,144
"연구소 등 비영리기관","적응","소계",2015,144
"연구소 등 비영리기관","적응","소계",2016,149
"연구소 등 비영리기관","적응","소계",2017,145
"연구소 등 비영리기관","적응","소계",2018,151
"연구소 등 비영리기관","적응","농업축산",2012,70
"연구소 등 비영리기관","적응","농업축산",2013,69
"연구소 등 비영리기관","적응","농업축산",2014,70
"연구소 등 비영리기관","적응","농업축산",2015,71
"연구소 등 비영리기관","적응","농업축산",2016,76
"연구소 등 비영리기관","적응","농업축산",2017,72
"연구소 등 비영리기관","적응","농업축산",2018,78
"연구소 등 비영리기관","적응","물",2012,73
"연구소 등 비영리기관","적응","물",2013,74
"연구소 등 비영리기관","적응","물",2014,74
"연구소 등 비영리기관","적응","물",2015,72
"연구소 등 비영리기관","적응","물",2016,73
"연구소 등 비영리기관","적응","물",2017,74
"연구소 등 비영리기관","적응","물",2018,73
"연구소 등 비영리기관","감축 및 적응 융복합","소계",2012,92
"연구소 등 비영리기관","감축 및 적응 융복합","소계",2013,95
"연구소 등 비영리기관","감축 및 적응 융복합","소계",2014,99
"연구소 등 비영리기관","감축 및 적응 융복합","소계",2015,93
"연구소 등 비영리기관","감축 및 적응 융복합","소계",2016,85
"연구소 등 비영리기관","감축 및 적응 융복합","소계",2017,92
"연구소 등 비영리기관","감축 및 적응 융복합","소계",2018,91
"연구소 등 비영리기관","감축 및 적응 융복합","감축 및 적응 융복합",2012,92
"연구소 등 비영리기관","감축 및 적응 융복합","감축 및 적응 융복합",2013,95
"연구소 등 비영리기관","감축 및 적응 융복합","감축 및 적응 융복합",2014,99
"연구소 등 비영리기관","감축 및 적응 융복합","감축 및 적응 융복합",2015,93
"연구소 등 비영리기관","감축 및 적응 융복합","감축 및 적응 융복합",2016,85
"연구소 등 비영리기관","감축 및 적응 융복합","감축 및 적응 융복합",2017,92
"연구소 등 비영리기관","감축 및 적응 융복합","감축 및 적응 융복합",2018,91
