"기후기술분류별(1)","기후기술분류별(2)","기업규모별(1)",시점,데이터
"감축","비재생에너지","중소기업",2012,352365
"감축","비재생에너지","중소기업",2013,323126
"감축","비재생에너지","중소기업",2014,309092
"감축","비재생에너지","중소기업",2015,340609
"감축","비재생에너지","중소기업",2016,370193
"감축","비재생에너지","중소기업",2017,392210
"감축","비재생에너지","중소기업",2018,356370
"감축","비재생에너지","연구소 등 비영리기관",2012,0
"감축","비재생에너지","연구소 등 비영리기관",2013,0
"감축","비재생에너지","연구소 등 비영리기관",2014,0
"감축","비재생에너지","연구소 등 비영리기관",2015,0
"감축","비재생에너지","연구소 등 비영리기관",2016,0
"감축","비재생에너지","연구소 등 비영리기관",2017,0
"감축","비재생에너지","연구소 등 비영리기관",2018,0
"감축","재생에너지","전체",2012,35086961
"감축","재생에너지","전체",2013,34098156
"감축","재생에너지","전체",2014,33248773
"감축","재생에너지","전체",2015,34455845
"감축","재생에너지","전체",2016,39142812
"감축","재생에너지","전체",2017,40708189
"감축","재생에너지","전체",2018,40675757
"감축","재생에너지","대기업",2012,22294879
"감축","재생에너지","대기업",2013,21580793
"감축","재생에너지","대기업",2014,20872400
"감축","재생에너지","대기업",2015,21639829
"감축","재생에너지","대기업",2016,25626224
"감축","재생에너지","대기업",2017,26035911
"감축","재생에너지","대기업",2018,26300317
"감축","재생에너지","중견기업",2012,7179468
"감축","재생에너지","중견기업",2013,6925488
"감축","재생에너지","중견기업",2014,6626573
"감축","재생에너지","중견기업",2015,6945731
"감축","재생에너지","중견기업",2016,7215056
"감축","재생에너지","중견기업",2017,7450815
"감축","재생에너지","중견기업",2018,7163058
"감축","재생에너지","중소기업",2012,5612614
"감축","재생에너지","중소기업",2013,5591875
"감축","재생에너지","중소기업",2014,5749801
"감축","재생에너지","중소기업",2015,5870285
"감축","재생에너지","중소기업",2016,6301532
"감축","재생에너지","중소기업",2017,7221464
"감축","재생에너지","중소기업",2018,7212382
"감축","재생에너지","연구소 등 비영리기관",2012,0
"감축","재생에너지","연구소 등 비영리기관",2013,0
"감축","재생에너지","연구소 등 비영리기관",2014,0
"감축","재생에너지","연구소 등 비영리기관",2015,0
"감축","재생에너지","연구소 등 비영리기관",2016,0
"감축","재생에너지","연구소 등 비영리기관",2017,0
"감축","재생에너지","연구소 등 비영리기관",2018,0
"감축","신에너지","전체",2012,13354066
"감축","신에너지","전체",2013,12910625
"감축","신에너지","전체",2014,10930300
"감축","신에너지","전체",2015,8227751
"감축","신에너지","전체",2016,7489457
"감축","신에너지","전체",2017,8669091
"감축","신에너지","전체",2018,9719272
"감축","신에너지","대기업",2012,11030136
"감축","신에너지","대기업",2013,11066473
"감축","신에너지","대기업",2014,9105627
"감축","신에너지","대기업",2015,6515162
"감축","신에너지","대기업",2016,5895165
"감축","신에너지","대기업",2017,7057984
"감축","신에너지","대기업",2018,8170656
"감축","신에너지","중견기업",2012,1986745
"감축","신에너지","중견기업",2013,1438815
"감축","신에너지","중견기업",2014,1435534
"감축","신에너지","중견기업",2015,1347493
"감축","신에너지","중견기업",2016,1214948
"감축","신에너지","중견기업",2017,1199601
"감축","신에너지","중견기업",2018,1175772
"감축","신에너지","중소기업",2012,337185
"감축","신에너지","중소기업",2013,405337
"감축","신에너지","중소기업",2014,389139
"감축","신에너지","중소기업",2015,365097
"감축","신에너지","중소기업",2016,379345
"감축","신에너지","중소기업",2017,411506
"감축","신에너지","중소기업",2018,372844
"감축","신에너지","연구소 등 비영리기관",2012,0
"감축","신에너지","연구소 등 비영리기관",2013,0
"감축","신에너지","연구소 등 비영리기관",2014,0
"감축","신에너지","연구소 등 비영리기관",2015,0
"감축","신에너지","연구소 등 비영리기관",2016,0
"감축","신에너지","연구소 등 비영리기관",2017,0
"감축","신에너지","연구소 등 비영리기관",2018,0
"감축","에너지저장","전체",2012,37150940
"감축","에너지저장","전체",2013,36124920
"감축","에너지저장","전체",2014,36052539
"감축","에너지저장","전체",2015,33822582
"감축","에너지저장","전체",2016,33924487
"감축","에너지저장","전체",2017,40220181
"감축","에너지저장","전체",2018,44212526
"감축","에너지저장","대기업",2012,26967172
"감축","에너지저장","대기업",2013,26013868
"감축","에너지저장","대기업",2014,26278778
"감축","에너지저장","대기업",2015,24418237
"감축","에너지저장","대기업",2016,24327220
"감축","에너지저장","대기업",2017,29425821
"감축","에너지저장","대기업",2018,32589509
"감축","에너지저장","중견기업",2012,8440870
"감축","에너지저장","중견기업",2013,8288193
"감축","에너지저장","중견기업",2014,7929782
"감축","에너지저장","중견기업",2015,7463935
"감축","에너지저장","중견기업",2016,7491344
"감축","에너지저장","중견기업",2017,8425055
"감축","에너지저장","중견기업",2018,9017704
"감축","에너지저장","중소기업",2012,1742898
"감축","에너지저장","중소기업",2013,1822860
"감축","에너지저장","중소기업",2014,1843978
"감축","에너지저장","중소기업",2015,1940409
"감축","에너지저장","중소기업",2016,2105922
"감축","에너지저장","중소기업",2017,2369305
"감축","에너지저장","중소기업",2018,2605313
"감축","에너지저장","연구소 등 비영리기관",2012,0
"감축","에너지저장","연구소 등 비영리기관",2013,0
"감축","에너지저장","연구소 등 비영리기관",2014,0
"감축","에너지저장","연구소 등 비영리기관",2015,0
"감축","에너지저장","연구소 등 비영리기관",2016,0
"감축","에너지저장","연구소 등 비영리기관",2017,0
"감축","에너지저장","연구소 등 비영리기관",2018,0
"감축","송배전 및 에너지관리","전체",2012,8709826
"감축","송배전 및 에너지관리","전체",2013,8998320
"감축","송배전 및 에너지관리","전체",2014,8251464
"감축","송배전 및 에너지관리","전체",2015,7542396
"감축","송배전 및 에너지관리","전체",2016,7265845
"감축","송배전 및 에너지관리","전체",2017,8158643
"감축","송배전 및 에너지관리","전체",2018,8442364
"감축","송배전 및 에너지관리","대기업",2012,3054486
"감축","송배전 및 에너지관리","대기업",2013,3301261
"감축","송배전 및 에너지관리","대기업",2014,3046087
"감축","송배전 및 에너지관리","대기업",2015,3042052
"감축","송배전 및 에너지관리","대기업",2016,3022880
"감축","송배전 및 에너지관리","대기업",2017,3614652
"감축","송배전 및 에너지관리","대기업",2018,3945080
"감축","송배전 및 에너지관리","중견기업",2012,5113915
"감축","송배전 및 에너지관리","중견기업",2013,5106982
"감축","송배전 및 에너지관리","중견기업",2014,4540109
"감축","송배전 및 에너지관리","중견기업",2015,3836064
"감축","송배전 및 에너지관리","중견기업",2016,3557870
"감축","송배전 및 에너지관리","중견기업",2017,3858102
"감축","송배전 및 에너지관리","중견기업",2018,3783737
"감축","송배전 및 에너지관리","중소기업",2012,541425
"감축","송배전 및 에너지관리","중소기업",2013,590076
"감축","송배전 및 에너지관리","중소기업",2014,665267
"감축","송배전 및 에너지관리","중소기업",2015,664280
"감축","송배전 및 에너지관리","중소기업",2016,685095
"감축","송배전 및 에너지관리","중소기업",2017,685889
"감축","송배전 및 에너지관리","중소기업",2018,713547
"감축","송배전 및 에너지관리","연구소 등 비영리기관",2012,0
"감축","송배전 및 에너지관리","연구소 등 비영리기관",2013,0
"감축","송배전 및 에너지관리","연구소 등 비영리기관",2014,0
"감축","송배전 및 에너지관리","연구소 등 비영리기관",2015,0
"감축","송배전 및 에너지관리","연구소 등 비영리기관",2016,0
"감축","송배전 및 에너지관리","연구소 등 비영리기관",2017,0
"감축","송배전 및 에너지관리","연구소 등 비영리기관",2018,0
"감축","에너지수요","전체",2012,56422506
"감축","에너지수요","전체",2013,56008935
"감축","에너지수요","전체",2014,55785782
"감축","에너지수요","전체",2015,55160960
"감축","에너지수요","전체",2016,54089323
"감축","에너지수요","전체",2017,55792657
"감축","에너지수요","전체",2018,53916415
"감축","에너지수요","대기업",2012,28826571
"감축","에너지수요","대기업",2013,28245596
"감축","에너지수요","대기업",2014,28261799
"감축","에너지수요","대기업",2015,27034582
"감축","에너지수요","대기업",2016,25281626
"감축","에너지수요","대기업",2017,26470654
"감축","에너지수요","대기업",2018,26140773
"감축","에너지수요","중견기업",2012,21323777
"감축","에너지수요","중견기업",2013,21314968
"감축","에너지수요","중견기업",2014,20968412
"감축","에너지수요","중견기업",2015,21250666
"감축","에너지수요","중견기업",2016,21632462
"감축","에너지수요","중견기업",2017,21634383
"감축","에너지수요","중견기업",2018,20298431
"감축","에너지수요","중소기업",2012,6272159
"감축","에너지수요","중소기업",2013,6448371
"감축","에너지수요","중소기업",2014,6555571
"감축","에너지수요","중소기업",2015,6875712
"감축","에너지수요","중소기업",2016,7175235
"감축","에너지수요","중소기업",2017,7687621
"감축","에너지수요","중소기업",2018,7477211
"감축","에너지수요","연구소 등 비영리기관",2012,0
"감축","에너지수요","연구소 등 비영리기관",2013,0
"감축","에너지수요","연구소 등 비영리기관",2014,0
"감축","에너지수요","연구소 등 비영리기관",2015,0
"감축","에너지수요","연구소 등 비영리기관",2016,0
"감축","에너지수요","연구소 등 비영리기관",2017,0
"감축","에너지수요","연구소 등 비영리기관",2018,0
"감축","온실가스 고정","전체",2012,5708347
"감축","온실가스 고정","전체",2013,5066419
"감축","온실가스 고정","전체",2014,5114587
"감축","온실가스 고정","전체",2015,3748375
"감축","온실가스 고정","전체",2016,4299783
"감축","온실가스 고정","전체",2017,4179779
"감축","온실가스 고정","전체",2018,4820125
"감축","온실가스 고정","대기업",2012,5605830
"감축","온실가스 고정","대기업",2013,4890526
"감축","온실가스 고정","대기업",2014,4920709
"감축","온실가스 고정","대기업",2015,3559426
"감축","온실가스 고정","대기업",2016,4070020
"감축","온실가스 고정","대기업",2017,3897321
"감축","온실가스 고정","대기업",2018,4513872
"감축","온실가스 고정","중견기업",2012,31083
"감축","온실가스 고정","중견기업",2013,49010
"감축","온실가스 고정","중견기업",2014,72467
"감축","온실가스 고정","중견기업",2015,63020
"감축","온실가스 고정","중견기업",2016,71665
"감축","온실가스 고정","중견기업",2017,67859
"감축","온실가스 고정","중견기업",2018,99351
"감축","온실가스 고정","중소기업",2012,71434
"감축","온실가스 고정","중소기업",2013,126883
"감축","온실가스 고정","중소기업",2014,121411
"감축","온실가스 고정","중소기업",2015,125929
"감축","온실가스 고정","중소기업",2016,158098
"감축","온실가스 고정","중소기업",2017,214599
"감축","온실가스 고정","중소기업",2018,206902
"감축","온실가스 고정","연구소 등 비영리기관",2012,0
"감축","온실가스 고정","연구소 등 비영리기관",2013,0
"감축","온실가스 고정","연구소 등 비영리기관",2014,0
"감축","온실가스 고정","연구소 등 비영리기관",2015,0
"감축","온실가스 고정","연구소 등 비영리기관",2016,0
"감축","온실가스 고정","연구소 등 비영리기관",2017,0
"감축","온실가스 고정","연구소 등 비영리기관",2018,0
"적응","소계","전체",2012,9144645
"적응","소계","전체",2013,9162623
"적응","소계","전체",2014,8794060
"적응","소계","전체",2015,8001183
"적응","소계","전체",2016,8142253
"적응","소계","전체",2017,8472677
"적응","소계","전체",2018,8988444
"적응","소계","대기업",2012,7423219
"적응","소계","대기업",2013,7496556
"적응","소계","대기업",2014,7192742
"적응","소계","대기업",2015,6399773
"적응","소계","대기업",2016,6542637
"적응","소계","대기업",2017,6769533
"적응","소계","대기업",2018,7185270
"적응","소계","중견기업",2012,468212
"적응","소계","중견기업",2013,410827
"적응","소계","중견기업",2014,373838
"적응","소계","중견기업",2015,348929
"적응","소계","중견기업",2016,342990
"적응","소계","중견기업",2017,396201
"적응","소계","중견기업",2018,396565
"적응","소계","중소기업",2012,1253215
"적응","소계","중소기업",2013,1255240
"적응","소계","중소기업",2014,1227480
"적응","소계","중소기업",2015,1252481
"적응","소계","중소기업",2016,1256626
"적응","소계","중소기업",2017,1306943
"적응","소계","중소기업",2018,1406608
"적응","소계","연구소 등 비영리기관",2012,0
"적응","소계","연구소 등 비영리기관",2013,0
"적응","소계","연구소 등 비영리기관",2014,0
"적응","소계","연구소 등 비영리기관",2015,0
"적응","소계","연구소 등 비영리기관",2016,0
"적응","소계","연구소 등 비영리기관",2017,0
"적응","소계","연구소 등 비영리기관",2018,0
"적응","농업축산","전체",2012,337331
"적응","농업축산","전체",2013,361661
"적응","농업축산","전체",2014,359290
"적응","농업축산","전체",2015,355834
"적응","농업축산","전체",2016,363140
"적응","농업축산","전체",2017,389878
"적응","농업축산","전체",2018,409467
"적응","농업축산","대기업",2012,3
"적응","농업축산","대기업",2013,3
"적응","농업축산","대기업",2014,2
"적응","농업축산","대기업",2015,3
"적응","농업축산","대기업",2016,1
"적응","농업축산","대기업",2017,-
"적응","농업축산","대기업",2018,-
"적응","농업축산","중견기업",2012,43434
"적응","농업축산","중견기업",2013,43246
"적응","농업축산","중견기업",2014,43008
"적응","농업축산","중견기업",2015,44188
"적응","농업축산","중견기업",2016,47837
"적응","농업축산","중견기업",2017,50489
"적응","농업축산","중견기업",2018,51953
"적응","농업축산","중소기업",2012,293894
"적응","농업축산","중소기업",2013,318412
"적응","농업축산","중소기업",2014,316280
"적응","농업축산","중소기업",2015,311643
"적응","농업축산","중소기업",2016,315302
"적응","농업축산","중소기업",2017,339389
"적응","농업축산","중소기업",2018,357514
"적응","농업축산","연구소 등 비영리기관",2012,0
"적응","농업축산","연구소 등 비영리기관",2013,0
"적응","농업축산","연구소 등 비영리기관",2014,0
"적응","농업축산","연구소 등 비영리기관",2015,0
"적응","농업축산","연구소 등 비영리기관",2016,0
"적응","농업축산","연구소 등 비영리기관",2017,0
"적응","농업축산","연구소 등 비영리기관",2018,0
"적응","물","전체",2012,8807315
"적응","물","전체",2013,8800962
"적응","물","전체",2014,8434770
"적응","물","전체",2015,7645348
"적응","물","전체",2016,7779113
"적응","물","전체",2017,8082799
"적응","물","전체",2018,8578977
"적응","물","대기업",2012,7423216
"적응","물","대기업",2013,7496553
"적응","물","대기업",2014,7192740
"적응","물","대기업",2015,6399770
"적응","물","대기업",2016,6542636
"적응","물","대기업",2017,6769533
"적응","물","대기업",2018,7185270
"적응","물","중견기업",2012,424778
"적응","물","중견기업",2013,367581
"적응","물","중견기업",2014,330830
"적응","물","중견기업",2015,304741
"적응","물","중견기업",2016,295153
"적응","물","중견기업",2017,345711
"적응","물","중견기업",2018,344612
"적응","물","중소기업",2012,959321
"적응","물","중소기업",2013,936828
"적응","물","중소기업",2014,911200
"적응","물","중소기업",2015,940838
"적응","물","중소기업",2016,941324
"적응","물","중소기업",2017,967554
"적응","물","중소기업",2018,1049095
"적응","물","연구소 등 비영리기관",2012,0
"적응","물","연구소 등 비영리기관",2013,0
"적응","물","연구소 등 비영리기관",2014,0
"적응","물","연구소 등 비영리기관",2015,0
"적응","물","연구소 등 비영리기관",2016,0
"적응","물","연구소 등 비영리기관",2017,0
"적응","물","연구소 등 비영리기관",2018,0
"감축 및 적응 융복합","소계","전체",2012,5015886
"감축 및 적응 융복합","소계","전체",2013,4493561
"감축 및 적응 융복합","소계","전체",2014,4443908
"감축 및 적응 융복합","소계","전체",2015,4530053
"감축 및 적응 융복합","소계","전체",2016,4403338
"감축 및 적응 융복합","소계","전체",2017,4366067
"감축 및 적응 융복합","소계","전체",2018,4231493
"감축 및 적응 융복합","소계","대기업",2012,827155
"감축 및 적응 융복합","소계","대기업",2013,909512
"감축 및 적응 융복합","소계","대기업",2014,981950
"감축 및 적응 융복합","소계","대기업",2015,942280
"감축 및 적응 융복합","소계","대기업",2016,972297
"감축 및 적응 융복합","소계","대기업",2017,1072672
"감축 및 적응 융복합","소계","대기업",2018,1021331
"감축 및 적응 융복합","소계","중견기업",2012,3697036
"감축 및 적응 융복합","소계","중견기업",2013,3040508
"감축 및 적응 융복합","소계","중견기업",2014,2869801
"감축 및 적응 융복합","소계","중견기업",2015,2963779
"감축 및 적응 융복합","소계","중견기업",2016,2783801
"감축 및 적응 융복합","소계","중견기업",2017,2608141
"감축 및 적응 융복합","소계","중견기업",2018,2534712
"감축 및 적응 융복합","소계","중소기업",2012,491695
"감축 및 적응 융복합","소계","중소기업",2013,543541
"감축 및 적응 융복합","소계","중소기업",2014,592157
"감축 및 적응 융복합","소계","중소기업",2015,623994
"감축 및 적응 융복합","소계","중소기업",2016,647240
"감축 및 적응 융복합","소계","중소기업",2017,685254
"감축 및 적응 융복합","소계","중소기업",2018,675450
"감축 및 적응 융복합","소계","연구소 등 비영리기관",2012,0
"감축 및 적응 융복합","소계","연구소 등 비영리기관",2013,0
"감축 및 적응 융복합","소계","연구소 등 비영리기관",2014,0
"감축 및 적응 융복합","소계","연구소 등 비영리기관",2015,0
"감축 및 적응 융복합","소계","연구소 등 비영리기관",2016,0
"감축 및 적응 융복합","소계","연구소 등 비영리기관",2017,0
"감축 및 적응 융복합","소계","연구소 등 비영리기관",2018,0
"감축 및 적응 융복합","감축 및 적응 융복합","전체",2012,5015886
"감축 및 적응 융복합","감축 및 적응 융복합","전체",2013,4493561
"감축 및 적응 융복합","감축 및 적응 융복합","전체",2014,4443908
"감축 및 적응 융복합","감축 및 적응 융복합","전체",2015,4530053
"감축 및 적응 융복합","감축 및 적응 융복합","전체",2016,4403338
"감축 및 적응 융복합","감축 및 적응 융복합","전체",2017,4366067
"감축 및 적응 융복합","감축 및 적응 융복합","전체",2018,4231493
"감축 및 적응 융복합","감축 및 적응 융복합","대기업",2012,827155
"감축 및 적응 융복합","감축 및 적응 융복합","대기업",2013,909512
"감축 및 적응 융복합","감축 및 적응 융복합","대기업",2014,981950
"감축 및 적응 융복합","감축 및 적응 융복합","대기업",2015,942280
"감축 및 적응 융복합","감축 및 적응 융복합","대기업",2016,972297
"감축 및 적응 융복합","감축 및 적응 융복합","대기업",2017,1072672
"감축 및 적응 융복합","감축 및 적응 융복합","대기업",2018,1021331
"감축 및 적응 융복합","감축 및 적응 융복합","중견기업",2012,3697036
"감축 및 적응 융복합","감축 및 적응 융복합","중견기업",2013,3040508
"감축 및 적응 융복합","감축 및 적응 융복합","중견기업",2014,2869801
"감축 및 적응 융복합","감축 및 적응 융복합","중견기업",2015,2963779
"감축 및 적응 융복합","감축 및 적응 융복합","중견기업",2016,2783801
"감축 및 적응 융복합","감축 및 적응 융복합","중견기업",2017,2608141
"감축 및 적응 융복합","감축 및 적응 융복합","중견기업",2018,2534712
"감축 및 적응 융복합","감축 및 적응 융복합","중소기업",2012,491695
"감축 및 적응 융복합","감축 및 적응 융복합","중소기업",2013,543541
"감축 및 적응 융복합","감축 및 적응 융복합","중소기업",2014,592157
"감축 및 적응 융복합","감축 및 적응 융복합","중소기업",2015,623994
"감축 및 적응 융복합","감축 및 적응 융복합","중소기업",2016,647240
"감축 및 적응 융복합","감축 및 적응 융복합","중소기업",2017,685254
"감축 및 적응 융복합","감축 및 적응 융복합","중소기업",2018,675450
"감축 및 적응 융복합","감축 및 적응 융복합","연구소 등 비영리기관",2012,0
"감축 및 적응 융복합","감축 및 적응 융복합","연구소 등 비영리기관",2013,0
"감축 및 적응 융복합","감축 및 적응 융복합","연구소 등 비영리기관",2014,0
"감축 및 적응 융복합","감축 및 적응 융복합","연구소 등 비영리기관",2015,0
"감축 및 적응 융복합","감축 및 적응 융복합","연구소 등 비영리기관",2016,0
"감축 및 적응 융복합","감축 및 적응 융복합","연구소 등 비영리기관",2017,0
"감축 및 적응 융복합","감축 및 적응 융복합","연구소 등 비영리기관",2018,0
